Organism MutS Tudor_domain Tudor_dist PWWP_domain PWWP_dist Tudor_call PWWP_call
"Saccharomyces cerevisiae S288C" 2 0 Inf 0 Inf Absent Absent
"Caenorhabditis elegans" 2 0 Inf 0 2046138 Absent Absent
"Arabidopsis thaliana" 9 18 0 0 Inf Present Absent
"Homo sapiens" 144 0 Inf 182 0 Absent Present
"Mus musculus" 2 0 Inf 4 5058 Absent Present
"Drosophila melanogaster" 2 0 Inf 0 Inf Absent Absent
"Danio rerio" 1 0 Inf 2 3209 Absent Present
"[Candida] auris" 10 0 594268 0 648312 Absent Absent
"Pichia kudriavzevii" 5 0 249341 0 295763 Absent Absent
"Candida dubliniensis CD36" 2 0 289846 0 870933 Absent Absent
"Saccharomyces kudriavzevii IFO 1802" 2 0 241654 0 373418 Absent Absent
"Saccharomyces mikatae IFO 1815" 2 0 Inf 0 219908 Absent Absent
"Sugiyamaella lignohabitans" 2 0 482633 0 1021640 Absent Absent
"Malassezia vespertilionis" 2 0 133426 0 487287 Absent Absent
"Schizosaccharomyces osmophilus" 2 0 64196 0 456600 Absent Absent
"Eremothecium sinecaudum" 2 0 272935 0 Inf Absent Absent
"Torulaspora globosa" 2 0 169526 0 314989 Absent Absent
"Brettanomyces nanus" 2 0 906530 0 850455 Absent Absent
"Plasmodium falciparum 3D7" 2 0 Inf 0 316144 Absent Absent
"Fusarium oxysporum Fo47" 1 0 Inf 0 Inf Absent Absent
"Citrus sinensis" 25 50 0 0 1585786 Present Absent
"Bubalus bubalis" 3 0 Inf 6 10446 Absent Present
"Botrytis cinerea B05.10" 4 0 903980 0 178168 Absent Absent
"Rhizoctonia solani" 15 0 133291 0 1360851 Absent Absent
"Kluyveromyces marxianus DMKU3-1042" 2 0 Inf 0 355459 Absent Absent
"Leishmania major strain Friedlin" 3 0 Inf 0 399457 Absent Absent
"Crassostrea virginica" 1 0 Inf 2 1624 Absent Present
"Plasmodium yoelii" 3 0 Inf 0 Inf Absent Absent
"Kluyveromyces lactis" 3 0 Inf 0 1053065 Absent Absent
"Talaromyces marneffei" 3 0 Inf 0 156831 Absent Absent
"Carassius gibelio" 2 0 Inf 4 0 Absent Present
"Cyanidioschyzon merolae strain 10D" 4 0 440707 0 92032 Absent Absent
"Ustilaginoidea virens" 2 0 3594199 0 2828169 Absent Absent
"Puccinia triticina" 3 0 Inf 0 4300230 Absent Absent
"Aspergillus luchuensis" 4 0 316170 0 1190684 Absent Absent
"Thermothelomyces thermophilus ATCC 42464" 2 0 444066 0 256675 Absent Absent
"Brettanomyces bruxellensis" 4 0 Inf 0 79252 Absent Absent
"Aethina tumida" 2 0 Inf 0 7805743 Absent Absent
"Malassezia restricta" 2 0 153049 0 Inf Absent Absent
"Aspergillus chevalieri" 2 0 3940222 0 Inf Absent Absent
"Eremothecium gossypii ATCC 10895" 2 0 397018 0 121323 Absent Absent
"Theileria orientalis strain Shintoku" 2 0 364174 0 Inf Absent Absent
"Fulvia fulva" 2 0 Inf 0 4022052 Absent Absent
"Ostreococcus lucimarinus CCE9901" 2 0 Inf 0 Inf Absent Absent
"Colletotrichum lupini" 2 0 Inf 0 2354324 Absent Absent
"Aspergillus puulaauensis" 2 0 711494 0 1757062 Absent Absent
"Fusarium falciforme" 6 0 2199290 0 Inf Absent Absent
"Purpureocillium takamizusanense" 2 0 Inf 0 Inf Absent Absent
"Thermothielavioides terrestris NRRL 8126" 2 0 Inf 0 74395 Absent Absent
"Talaromyces rugulosus" 2 0 Inf 0 Inf Absent Absent
"Plasmodium vinckei vinckei" 3 0 Inf 0 56445 Absent Absent
"Zygotorulaspora mrakii" 2 0 830373 0 860028 Absent Absent
"Nakaseomyces glabratus" 28 0 Inf 0 613205 Absent Absent
"Saccharomyces paradoxus" 2 0 Inf 0 Inf Absent Absent
"Naumovozyma castellii CBS 4309" 2 0 Inf 0 410800 Absent Absent
"Zygosaccharomyces rouxii" 5 0 162132 0 299411 Absent Absent
