tree_tip	trait
Abortiporus_biennis	none
Abrus_precatorius	Tudor_single_exon
Abscondita_terminalis	none
Acanthamoeba_castellanii_str._Neff	none
Acanthaster_planci	PWWP_2_exon
Acanthopagrus_latus	PWWP_2_exon
Acanthoscelides_obtectus	none
Acarospora_aff._strigata	none
Acaulospora_colombiana	none
Accipiter_gentilis	PWWP_2_exon
Acephala_macrosclerotiorum	none
Acidomyces_richmondensis_BFW	none
Acinonyx_jubatus	PWWP_2_exon
Acomys_russatus	PWWP_2_exon
Acrocephalus_arundinaceus	PWWP_2_exon
Acropora_digitifera	PWWP_2_exon
Acropora_millepora	PWWP_2_exon
Adelges_cooleyi	none
Adiantum_nelumboides	none
Aedes_aegypti	none
Aegilops_tauschii_subsp._tauschii	Tudor_single_exon
Agaricus_bisporus_var._burnettii	none
Agrilus_planipennis	none
Ailuropoda_melanoleuca	PWWP_2_exon
Akanthomyces_lecanii_RCEF_1005	none
Alca_torda	PWWP_2_exon
Aleadryas_rufinucha	PWWP_2_exon
Alectoria_sarmentosa	none
Alectura_lathami	PWWP_2_exon
Alligator_mississippiensis	PWWP_2_exon
Alligator_sinensis	none
Alosa_sapidissima	PWWP_2_exon
Amanita_muscaria_Koide_BX008	none
Amazona_aestiva	PWWP_3plus_exon
Ambispora_leptoticha	none
Amblyraja_radiata	PWWP_2_exon
Amborella_trichopoda	Tudor_single_exon
Ambrosiozyma_monospora	none
Ameiurus_melas	PWWP_2_exon
Amia_calva	none
Amorphotheca_resinae_ATCC_22711	none
Amphibalanus_amphitrite	none
Amphimedon_queenslandica	none
Amyelois_transitella	none
Amylostereum_chailletii	none
Anabas_testudineus	PWWP_2_exon
Anaeromyces_robustus	none
Ananas_comosus	Tudor_single_exon
Anarrhichthys_ocellatus	PWWP_2_exon
Andrographis_paniculata	Tudor_single_exon
Anguilla_anguilla	PWWP_2_exon
Anhinga_anhinga	PWWP_2_exon
Anisodus_acutangulus	Tudor_single_exon
Anneissia_japonica	PWWP_2_exon
Annulohypoxylon_stygium	none
Anolis_carolinensis	PWWP_2_exon
Anopheles_darlingi	none
Anopheles_moucheti	none
Anopheles_nili	none
Anoplophora_glabripennis	none
Anoplopoma_fimbria	PWWP_2_exon
Anseranas_semipalmata	PWWP_2_exon
Antechinus_flavipes	PWWP_2_exon
Antrostomus_carolinensis	PWWP_3plus_exon
Aphelocoma_coerulescens	PWWP_2_exon
Aphis_craccivora	none
Aphis_glycines	none
Aphis_gossypii	none
Apis_cerana_cerana	none
Apis_florea	none
Apis_mellifera	none
Aplosporella_prunicola_CBS_121167	none
Aplysia_californica	PWWP_2_exon
Apostasia_shenzhenica	Tudor_single_exon
Apostichopus_japonicus	none
Aptenodytes_forsteri	none
Aptenodytes_patagonicus	PWWP_2_exon
Apteryx_rowi	PWWP_2_exon
Aquilegia_coerulea	Tudor_2_exon
Arabidopsis_lyrata_subsp._lyrata	Tudor_single_exon
Arabidopsis_thaliana	Tudor_single_exon
Arabis_alpina	Tudor_3plus_exon
Arachis_hypogaea	Tudor_2_exon
Archocentrus_centrarchus	PWWP_2_exon
Arctia_plantaginis	none
Arenaria_interpres	PWWP_3plus_exon
Argiope_bruennichi	none
Armadillidium_nasatum	PWWP_2_exon
Armillaria_borealis	none
Armillaria_fumosa	none
Armillaria_gallica	none
Armillaria_luteobubalina	none
Armillaria_nabsnona	none
Armillaria_novae-zelandiae	none
Armillaria_ostoyae	none
Armillaria_solidipes	none
Artemisia_annua	Tudor_single_exon
Arthroderma_uncinatum	none
Artibeus_jamaicensis	PWWP_2_exon
Artomyces_pyxidatus	none
Arvicanthis_niloticus	PWWP_2_exon
Arvicola_amphibius	PWWP_2_exon
Ascoidea_rubescens_DSM_1968	none
Ascosphaera_apis_ARSEF_7405	none
Asparagus_officinalis	Tudor_single_exon
Aspergillus_aculeatinus_CBS_121060	none
Aspergillus_aculeatus_ATCC_16872	none
Aspergillus_arachidicola	none
Aspergillus_bombycis	none
Aspergillus_brasiliensis_CBS_101740	none
Aspergillus_brunneoviolaceus_CBS_621.78	none
Aspergillus_caelatus	none
Aspergillus_calidoustus	none
Aspergillus_campestris_IBT_28561	none
Aspergillus_candidus	none
Aspergillus_carbonarius_ITEM_5010	none
Aspergillus_chevalieri	none
Aspergillus_clavatus_NRRL_1	none
Aspergillus_costaricaensis_CBS_115574	none
Aspergillus_cristatus	none
Aspergillus_ellipticus_CBS_707.79	none
Aspergillus_eucalypticola_CBS_122712	none
Aspergillus_fijiensis_CBS_313.89	none
Aspergillus_fischeri_NRRL_181	none
Aspergillus_flavus_AF70	none
Aspergillus_fumigatus_var._RP-2014	none
Aspergillus_hancockii	none
Aspergillus_heteromorphus_CBS_117.55	none
Aspergillus_homomorphus_CBS_101889	none
Aspergillus_ibericus_CBS_121593	none
Aspergillus_indologenus_CBS_114.80	none
Aspergillus_japonicus_CBS_114.51	none
Aspergillus_lentulus	none
Aspergillus_luchuensis_CBS_106.47	none
Aspergillus_mulundensis	none
Aspergillus_neoniger_CBS_115656	none
Aspergillus_nidulans_FGSC_A4	none
Aspergillus_niger_CBS_513.88	none
Aspergillus_nomiae_NRRL_13137	none
Aspergillus_novofumigatus_IBT_16806	none
Aspergillus_ochraceoroseus_IBT_24754	none
Aspergillus_oryzae_var._brunneus	none
Aspergillus_parasiticus_SU-1	none
Aspergillus_piperis_CBS_112811	none
Aspergillus_rambellii	none
Aspergillus_ruber_CBS_135680	none
Aspergillus_saccharolyticus_JOP_1030-1	none
Aspergillus_sclerotiicarbonarius_CBS_121057	none
Aspergillus_sclerotioniger_CBS_115572	none
Aspergillus_steynii_IBT_23096	none
Aspergillus_sydowii_CBS_593.65	none
Aspergillus_taichungensis	none
Aspergillus_tanneri	none
Aspergillus_terreus_NIH2624	none
Aspergillus_tubingensis_CBS_134.48	none
Aspergillus_turcosus	none
Aspergillus_udagawae	none
Aspergillus_uvarum_CBS_121591	none
Aspergillus_vadensis_CBS_113365	none
Aspergillus_versicolor_CBS_583.65	none
Aspergillus_welwitschiae	none
Aspergillus_wentii_DTO_134E9	none
Astraeus_odoratus	none
Astyanax_mexicanus	PWWP_2_exon
Athalia_rosae	none
Athene_cunicularia	PWWP_2_exon
Atlantisia_rogersi	none
Atrichornis_clamosus	PWWP_2_exon
Atta_cephalotes	none
Aureobasidium_melanogenum_CBS_110374	none
Aureobasidium_namibiae_CBS_147.97	none
Aureobasidium_pullulans_EXF-150	none
Aureobasidium_subglaciale_EXF-2481	none
Aureococcus_anophagefferens	Tudor_single_exon
Auriculariopsis_ampla	none
Auriscalpium_vulgare	none
Austropuccinia_psidii_MF-1	none
Babesia_bovis_T2Bo	none
Babesia_caballi	none
Babesia_microti_strain_RI	none
Babesia_ovata	none
Babesia_ovis	none
Babjeviella_inositovora_NRRL_Y-12698	none
Bactrocera_neohumeralis	none
Bactrocera_tryoni	none
Bagarius_yarrelli	PWWP_single_exon
Balaeniceps_rex	PWWP_2_exon
Balaenoptera_physalus	PWWP_2_exon
Balearica_regulorum_gibbericeps	PWWP_2_exon
Bambusicola_thoracicus	PWWP_2_exon
Batrachochytrium_dendrobatidis_JAM81	none
Baudoinia_panamericana_UAMH_10762	none
Beauveria_bassiana_ARSEF_2860	none
Beauveria_brongniartii_RCEF_3172	none
Belonocnema_kinseyi	none
Beta_vulgaris_subsp._vulgaris	Tudor_single_exon
Betta_splendens	PWWP_2_exon
Bicyclus_anynana	none
Biomphalaria_glabrata	PWWP_2_exon
Bison_bison_bison	PWWP_2_exon
Blastomyces_dermatitidis_ATCC_18188	none
Blastomyces_gilchristii_SLH14081	none
Blastomyces_parvus	none
Blastomyces_percursus	none
Blumeria_graminis_f._sp._triticale	none
Bodo_saltans	none
Boeremia_exigua	none
Boleophthalmus_pectinirostris	PWWP_2_exon
Boletus_edulis_BED1	none
Boletus_reticuloceps	none
Bombina_bombina	PWWP_2_exon
Bombus_bifarius	none
Bombus_terrestris	none
Bombyx_mandarina	none
Bondarzewia_mesenterica	none
Bos_indicus	PWWP_2_exon
Botryosphaeria_dothidea	none
Botryotinia_convoluta	none
Botryotinia_narcissicola	none
Botrytis_byssoidea	none
Botrytis_cinerea_B05.10	none
Botrytis_elliptica	none
Botrytis_galanthina	none
Botrytis_hyacinthi	none
Botrytis_paeoniae	none
Botrytis_porri	none
Botrytis_sinoallii	none
Botrytis_tulipae	none
Brachionus_plicatilis	none
Brachypteracias_leptosomus	PWWP_2_exon
Branchiostoma_belcheri	PWWP_2_exon
Brassica_napus	Tudor_single_exon
Brenthis_ino	none
Brettanomyces_bruxellensis_AWRI1499	none
Brienomyrus_brachyistius	PWWP_2_exon
Bubalus_bubalis	PWWP_2_exon
Bubalus_carabanensis	PWWP_2_exon
Buceros_rhinoceros_silvestris	PWWP_2_exon
Bucorvus_abyssinicus	PWWP_2_exon
Burhinus_bistriatus	PWWP_2_exon
Byssothecium_circinans	none
Cadophora_malorum	none
Cadophora_sp._DSE1049	none
Caenorhabditis_brenneri	none
Caenorhabditis_briggsae	none
Caenorhabditis_elegans	none
Calcarius_ornatus	PWWP_2_exon
Calidris_pugnax	PWWP_2_exon
Callaeas_wilsoni	PWWP_2_exon
Callipepla_squamata	PWWP_2_exon
Callorhinchus_milii	PWWP_2_exon
Callorhinus_ursinus	PWWP_2_exon
Callosobruchus_maculatus	none
Caloenas_nicobarica	PWWP_2_exon
Caloplaca_aegaea	none
Calypte_anna	PWWP_2_exon
Calyptomena_viridis	PWWP_2_exon
Camelina_sativa	Tudor_single_exon
Camellia_sinensis_var._sinensis	Tudor_single_exon
Camelus_dromedarius	PWWP_2_exon
Camelus_ferus	PWWP_2_exon
Camponotus_floridanus	none
Campylorhamphus_procurvoides	PWWP_3plus_exon
Candida_albicans_WO-1	none
Candida_dubliniensis_CD36	none
Candida_orthopsilosis_Co_90-125	none
Candida_parapsilosis	none
Candida_tropicalis_MYA-3404	none
Cannabis_sativa	Tudor_single_exon
Capitella_teleta	PWWP_2_exon
Capra_hircus	PWWP_2_exon
Capronia_coronata_CBS_617.96	none
Capronia_epimyces_CBS_606.96	none
Capsaspora_owczarzaki_ATCC_30864	none
Carassius_gibelio	PWWP_2_exon
Carcharodon_carcharias	PWWP_2_exon
Cardinalis_cardinalis	PWWP_2_exon
Caretta_caretta	PWWP_2_exon
Carex_littledalei	Tudor_single_exon
Cariama_cristata	PWWP_2_exon
Carica_papaya	Tudor_single_exon
Carlito_syrichta	PWWP_2_exon
Carpediemonas_membranifera	none
Carpinus_fangiana	Tudor_single_exon
Carya_illinoinensis	Tudor_single_exon
Castanea_mollissima	none
