Name,IDs,N,OR,Fp,P,BH
FA complementation group A,2528496at33208; 5400084at2759,29,147.287547408158,1.31647673846049e-21,2.65522008995325e-05,0.00237642198050816
"NSE1 homolog, SMC5-SMC6 complex component",156401at33208; 4844at2759,26,137.50728401179,7.14717469609998e-20,6.61170213521774e-05,0.00242079353534456
"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",1364175at2759; 9692at33208,50,Inf,7.61073631342837e-23,9.46679036168263e-05,0.00242079353534456
FA core complex associated protein 24,2906428at2759; 34840at33208,27,162.583724592956,3.91823109853502e-21,0.00073559666792052,0.0091808816471414
scaffold protein involved in DNA repair,163312at33208; 3034900at2759,30,59.0313607459433,4.6139193567684e-17,0.000859861096240705,0.0091808816471414
"RAD52 homolog, DNA repair protein",2530571at33208; 5477627at2759,63,6.94951193003372,3.61754102892404e-06,0.0010467405973185,0.00986139825894795
"methyl-CpG binding domain 4, DNA glycosylase",1451962at2759; 48138at33208,62,115.711908547139,1.45623358268182e-16,0.00183914323725967,0.0149920321616326
mitochondrial genome maintenance exonuclease 1,2900863at2759; 29275at33208,126,Inf,1.21856560178681e-06,0.00201010487083342,0.0149920321616326
centromere protein X,309593at33208; 3181181at2759,53,19.0597856532773,1.95404713868968e-11,0.00231617045502028,0.0159459427480243
damage specific DNA binding protein 2,807448at33208,27,37.8329289871091,8.71923401446525e-14,0.00413162059812481,0.0255020719677359
probable endonuclease 4,19996at33208; 254767at2759,33,73.8594666546229,6.64284813881281e-19,0.00493968302020035,0.0285226858263181
endonuclease V,1372at2759; 38971at33208,22,133.311540472304,3.14027035762067e-17,0.00629219197250558,0.0323475876639665
primase and DNA directed polymerase,2478461at33208; 50789at2759,89,7.84139765430149,6.77927685513389e-06,0.0151582794457826,0.063100744669653
mutY DNA glycosylase,123472at2759; 28022at33208,30,44.0049784972608,2.25243633090457e-15,0.0181975336875052,0.0719425443845223
apurinic/apyrimidinic endodeoxyribonuclease 2,169291at2759; 2525051at33208,42,342.028119034182,4.10719674329747e-24,0.0188899418216343,0.0719425443845223
SWI5 homologous recombination repair protein,1466292at2759; 48226at33208,68,3.52826612802587,0.00189060937259974,0.0207708158682715,0.0758770620494001
X-ray repair cross complementing 2,318445at2759; 869036at33208,106,3.98573413883974,0.00267700092896692,0.0310488751890501,0.0965695327207864
Uracil-DNA glycosylase,11658at2759; 5924at33208,54,75.1913544210573,3.91564561070412e-17,0.0323696757723306,0.0965695327207864
DNA polymerase beta,2517909at33208; 49764at2759,108,9.13000614231104,1.9076263192316e-05,0.0375235422339589,0.100766869093217
Centromere protein S,2524377at33208; 5395965at2759,64,12.6174702712953,5.33383619716921e-09,0.0382801513873675,0.100766869093217
RAD51 paralog C,1216351at2759; 210989at33208,134,7.40197876205323,0.00117624719049047,0.0409041417596454,0.101692241319118
"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",2524702at33208; 5396290at2759,156,Inf,0.0016900729671073,0.0432437481432744,0.104603120508731
G/T mismatch-specific thymine DNA glycosylase-like,2447324at33208; 5318912at2759,171,Inf,0.0470006123568136,0.0482968214348948,0.106755133296442
WRN helicase interacting protein 1,206891at2759; 2521783at33208,118,2.94175231151902,0.0251901129029964,0.0487784137792919,0.106755133296442
