i,Ortho_ID,Name,sum,p_fisher,or,P_pagel,P_pagel_adj
148247,2528496at33208,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816
270301,5400084at2759,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816
70807,156401at33208,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456
255384,4844at2759,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456
48916,1364175at2759,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456
374055,9692at33208,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456
170765,2906428at2759,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414
208611,34840at33208,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414
82494,163312at33208,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414
180815,3034900at2759,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414
148550,2530571at33208,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795
274924,5477627at2759,"RAD52 homolog, DNA repair protein",63,3.61754102892404e-06,6.94951193003372,0.0010467405973185,0.00986139825894795
57463,1451962at2759,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326
254348,48138at33208,"methyl-CpG binding domain 4, DNA glycosylase",62,1.45623358268182e-16,115.711908547139,0.00183914323725967,0.0149920321616326
170207,2900863at2759,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326
172631,29275at33208,mitochondrial genome maintenance exonuclease 1,126,1.21856560178681e-06,Inf,0.00201010487083342,0.0149920321616326
185414,309593at33208,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243
192067,3181181at2759,centromere protein X,53,1.95404713868968e-11,19.0597856532773,0.00231617045502028,0.0159459427480243
345355,807448at33208,damage specific DNA binding protein 2,27,8.71923401446525e-14,37.8329289871091,0.00413162059812481,0.0255020719677359
115370,19996at33208,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181
149864,254767at2759,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181
49908,1372at2759,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665
222772,38971at33208,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665
144090,2478461at33208,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653
262247,50789at2759,primase and DNA directed polymerase,89,6.77927685513389e-06,7.84139765430149,0.0151582794457826,0.063100744669653
36587,123472at2759,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223
163034,28022at33208,mutY DNA glycosylase,30,2.25243633090457e-15,44.0049784972608,0.0181975336875052,0.0719425443845223
87873,169291at2759,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223
147731,2525051at33208,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223
59302,1466292at2759,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001
254642,48226at33208,SWI5 homologous recombination repair protein,68,0.00189060937259974,3.52826612802587,0.0207708158682715,0.0758770620494001
192326,318445at2759,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864
355176,869036at33208,X-ray repair cross complementing 2,106,0.00267700092896692,3.98573413883974,0.0310488751890501,0.0965695327207864
28137,11658at2759,Uracil-DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864
291566,5924at33208,uracil DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864
146966,2517909at33208,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217
260023,49764at2759,DNA polymerase beta,108,1.9076263192316e-05,9.13000614231104,0.0375235422339589,0.100766869093217
147641,2524377at33208,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217
269966,5395965at2759,Centromere protein S,64,5.33383619716921e-09,12.6174702712953,0.0382801513873675,0.100766869093217
34011,1216351at2759,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118
122987,210989at33208,RAD51 paralog C,134,0.00117624719049047,7.40197876205323,0.0409041417596454,0.101692241319118
147682,2524702at33208,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731
269985,5396290at2759,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",156,0.0016900729671073,Inf,0.0432437481432744,0.104603120508731
142101,2447324at33208,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442
266980,5318912at2759,G/T mismatch-specific thymine DNA glycosylase-like,171,0.0470006123568136,Inf,0.0482968214348948,0.106755133296442
120212,206891at2759,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442
147354,2521783at33208,WRN helicase interacting protein 1,118,0.0251901129029964,2.94175231151902,0.0487784137792919,0.106755133296442
