Organism,tip,Genome_size,N50,BUSCO,Protein_number,CDS_genome_total,mean_CDS_length,mean_intron_length,mean_total_intron_length,prop_intron,mean_exon_number,gene_lengths,mean_total_CDS_length,exonvsintron,CDS_percent,pct_intron_genic,pct_CDS_genic,genic_percent,nongenic,pctnongenic,codingnoncoding,longevity,snp_u,indel_u,body_mass,Ne,Hexapoda,Chlorophyta,Arthropoda,Protostomia,Sar,Chordata,Mammalia,Fungi,Cnidaria,Spiralia,Viridiplantae,Metazoa,Deuterostomia,OrthoDB_avail,TimeTree_avail,MSH6_reader
Drosophila melanogaster,None,143706478,21485538,,13962,22956226,373.905828470662,1294.24522891403,5568.1285306149,0.859457178105318,5.3022206350237,7555.96195052269,1987.8334199078,0.357002071517963,0.159743849543094,0.73691855081797,0.263081449182032,0.73410984298147,120750252,0.840256150456906,0.190113276119705,0.3,4.571e-09,6.915375e-10,0.000149008347784677,360089117204960,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,None
Homo sapiens,PWWP,3096025766,78062165.9,0.991582005,21058.4285714286,36339597.6666667,157.218858694534,5855.6558984377,52668.9468948894,0.924916653563124,9.99454267948729,54256.8384705663,1587.89157567689,0.030148534749438,0.0117374982466473,0.97073379834805,0.0292662016519503,0.369042069852076,3059686169,0.988262501753353,0.0118769033792367,122.5,1.35465079365079e-08,2.221375e-09,153780.634755085,267333171.812356,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,PWWP
Pan troglodytes,PWWP,3164572460,35752699.6666667,0.991509405,21509,37005496.25,161.16499293734,5840.10825441896,63220.4809148098,0.940594448698453,11.8252241500786,65152.0463805672,1931.56546575739,0.0305528436007973,0.0116936794678419,0.970352957841498,0.0296470421585025,0.44282612666104,3127566964,0.988306320532158,0.0118320395457406,68,1.16618181818182e-08,,15137.6971766939,30189988.2878373,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,PWWP
Mus musculus,PWWP,2902552855,39649144,0.9946369,24893.5,35987863.5,162.698187588187,4884.86810819725,43354.831276458,0.876665156537985,9.87533303175671,44976.7942087149,1621.96293225701,0.0374113538100122,0.0123986934253433,0.9639377825656,0.0360622174344015,0.385739685694716,2866564992,0.987601306574657,0.0125543509742269,4,5.33166666666667e-09,2.75e-10,11.3137057143189,50022199014.3966,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,PWWP
Arabidopsis thaliana,Tudor,116912185,8911140.42857143,,24509.7142857143,32360667.5714286,231.157028404486,163.170053103059,737.135617121923,0.794881362029283,5.51759132943559,2013.4170703117,1276.28145318978,1.73140657369522,0.276794647196099,0.366111735114973,0.633888264885026,0.422096952511836,84551518,0.723205352803902,0.382733128457847,,1.0586e-08,3.15e-09,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Tudor
Rattus norvegicus,PWWP,2807650761,17938329.3333333,0.99347734,21047,34870306,167.153013570996,4722.03641108625,42985.7662407974,0.869489212493364,10.10322634105,44695.2405413651,1709.47430056761,0.0397683803283044,0.0124197448216744,0.961752654648194,0.0382473453518056,0.335049052420234,2772780455,0.987580255178326,0.0125759347218134,3.8,,,231.165969850559,2667371317.32519,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,PWWP
Talaromyces marneffei ATCC 18224,None,28643865,541514,,10023,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,None
Danio rerio,PWWP,1373454788,1422317,0.9873626,26448,56205596,169.095059852813,3238.70493388884,36946.3131601035,0.941246415331888,12.4077428831223,39056.8089284465,2110.49576834301,0.057123311849747,0.0409227857306068,0.945963435665993,0.0540365643340068,0.752099370889521,1317249192,0.959077214269393,0.0426689166646306,5.5,,,0.276174997989918,39763722163.1389,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,PWWP
Aplysia californica,PWWP,927296314,9584,0.97242683,19405,30930884,191.95725717673,2306.11319592943,18111.4087194482,0.901934322986954,8.85365122207228,19819.7849752587,1708.37625581047,0.0943259733284041,0.0333559872211462,0.913804501010324,0.0861954989896741,0.414757312407477,896365430,0.966644012778854,0.0345070023505927,0.6,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,PWWP
Apis mellifera,None,237752599,2714082,0.9878151,10338,18352602,248.082591987204,2376.22313698728,18972.3023257079,0.964582175000061,8.98422590471119,21213.0189554301,2240.71662972219,0.118104623848732,0.0771920142080129,0.894370686490685,0.105629313509316,0.922388188067715,219399997,0.922807985791987,0.0836490531036789,8,3.4e-09,1.1e-09,0.0460704675527596,2631667623533.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,None
