i,Ortho_ID,Name,n_species_with_ortho,fisher_p,fisher_OR,pagel_P,pagel_P_BH
87873,169291at2759,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223
147731,2525051at33208,apurinic/apyrimidinic endodeoxyribonuclease 2,42,4.10719674329747e-24,342.028119034182,0.0188899418216343,0.0719425443845223
48916,1364175at2759,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456
374055,9692at33208,"ERCC excision repair 8, CSA ubiquitin ligase complex subunit",50,7.61073631342837e-23,Inf,9.46679036168263e-05,0.00242079353534456
148247,2528496at33208,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816
270301,5400084at2759,FA complementation group A,29,1.31647673846049e-21,147.287547408158,2.65522008995325e-05,0.00237642198050816
170765,2906428at2759,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414
208611,34840at33208,FA core complex associated protein 24,27,3.91823109853502e-21,162.583724592956,0.00073559666792052,0.0091808816471414
70807,156401at33208,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456
255384,4844at2759,"NSE1 homolog, SMC5-SMC6 complex component",26,7.14717469609998e-20,137.50728401179,6.61170213521774e-05,0.00242079353534456
115370,19996at33208,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181
149864,254767at2759,probable endonuclease 4,33,6.64284813881281e-19,73.8594666546229,0.00493968302020035,0.0285226858263181
144481,2482463at33208,PARP1 binding protein,26,7.14957902010594e-18,88.6564218210825,0.501746832493522,0.554399277878645
268338,5354051at2759,PARP1 binding protein,26,7.14957902010594e-18,88.6564218210825,0.501746832493522,0.554399277878645
49908,1372at2759,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665
222772,38971at33208,endonuclease V,22,3.14027035762067e-17,133.311540472304,0.00629219197250558,0.0323475876639665
28137,11658at2759,Uracil-DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864
291566,5924at33208,uracil DNA glycosylase,54,3.91564561070412e-17,75.1913544210573,0.0323696757723306,0.0965695327207864
82494,163312at33208,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414
180815,3034900at2759,scaffold protein involved in DNA repair,30,4.6139193567684e-17,59.0313607459433,0.000859861096240705,0.0091808816471414
