Organism,Tudortblastn,PWWPtblastn,MutS,Tudor_domain,Tudor_dist,PWWP_domain,PWWP_dist,Tudor_call,PWWP_call,tipcolor,Genus
Aaosphaeria arxii CBS 175.79,408867,90812,2,0,407904,0,89813,Absent,Absent,None,Aaosphaeria
Abortiporus biennis,49101,219451,1,0,54086,0,231292,Absent,Absent,None,Abortiporus
Abrus precatorius,1359,1389397,1,2,8834,0,1392841,Present,Absent,Tudor,Abrus
Abscondita terminalis,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Abscondita
Absidia glauca,74244,24799,2,0,Inf,0,Inf,Absent,Absent,None,Absidia
Absidia repens,125422,959143,1,0,Inf,0,Inf,Absent,Absent,None,Absidia
Acacia pycnantha,1347,126937,1,2,336,0,1236621,Present,Absent,Tudor,Acacia
Acanthamoeba castellanii str. Neff,71728,379269,2,0,Inf,0,Inf,Absent,Absent,None,Acanthamoeba
Acanthaster planci,Inf,3793,1,0,Inf,2,2725,Absent,Present,PWWP,Acanthaster
Acanthocheilonema viteae,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Acanthocheilonema
Acanthochromis polyacanthus,Inf,811,2,0,Inf,4,0,Absent,Present,PWWP,Acanthochromis
Acanthopagrus latus,Inf,916,1,0,Inf,2,6181,Absent,Present,PWWP,Acanthopagrus
Acanthoscelides obtectus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acanthoscelides
Acaromyces ingoldii,76201,347770,2,0,Inf,0,Inf,Absent,Absent,None,Acaromyces
Acarospora aff. strigata,Inf,72497,1,0,Inf,0,Inf,Absent,Absent,None,Acarospora
Acaulospora colombiana,Inf,Inf,2,0,Inf,0,Inf,Absent,Absent,None,Acaulospora
Acaulospora morrowiae,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acaulospora
Accipiter gentilis,21188378,4585,2,0,Inf,4,0,Absent,Present,PWWP,Accipiter
Acephala macrosclerotiorum,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acephala
Acer yangbiense,1568,3904341,1,2,282,0,3911995,Present,Absent,Tudor,Acer
Acidomyces richmondensis BFW,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acidomyces
Acidomyces sp. 'richmondensis',Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acidomyces
Acinonyx jubatus,Inf,3873,3,0,Inf,6,0,Absent,Present,PWWP,Acinonyx
Acipenser ruthenus,Inf,2173,13,0,Inf,12,141,Absent,Present,PWWP,Acipenser
Acomys russatus,Inf,3552,3,0,Inf,6,0,Absent,Present,PWWP,Acomys
Acrocephalus arundinaceus,Inf,4136,1,0,Inf,2,11958,Absent,Present,PWWP,Acrocephalus
Acromyrmex charruanus,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acromyrmex
Acromyrmex echinatior,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acromyrmex
Acromyrmex heyeri,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acromyrmex
Acromyrmex insinuator,Inf,Inf,1,0,Inf,0,Inf,Absent,Absent,None,Acromyrmex
Acropora digitifera,Inf,5760,2,0,Inf,2,18743,Absent,Present,PWWP,Acropora
Acropora millepora,Inf,5064,4,0,Inf,8,0,Absent,Present,PWWP,Acropora
Actinidia rufa,1151,1595123,2,4,273,0,Inf,Present,Absent,Tudor,Actinidia
Actinomortierella ambigua,Inf,Inf,4,0,Inf,0,Inf,Absent,Absent,None,Actinomortierella
Acytostelium subglobosum LB1,205680,217086,2,0,Inf,0,Inf,Absent,Absent,None,Acytostelium
Adelges cooleyi,12417063,2043139,1,0,Inf,0,2046908,Absent,Absent,None,Adelges
Adiantum capillus-veneris,25882,8462581,1,2,56617,0,Inf,Present,Absent,Tudor,Adiantum
Adiantum nelumboides,25889,1878799,3,0,68992,0,Inf,Absent,Absent,None,Adiantum
