TaxId	Phylum	Class	Order	Family	Genus	Species	Accession_assembly	Quast_ContigN50	Quast_ContigN75	Sequence_technology	Assembly_level	Assembly_size	Date_submission_ncbi	BioProject	BioSample	Reads_assembly	Reads_available	BUSCO_Single	BUSCO_Duplicate	BUSCO_Complete	BUSCO_Fragmented	BUSCO_Missing	Experiment	Cvalue	Method	Date_method	Notes_cvalue_method	Expected_Cvalue	Genome_size_bp
387753	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter gentilis atricapillus	GCA_017309825.1	183402	83939	Illumina HiSeq	Scaffold	1245809754	2021/03/09	PRJNA692628	SAMN17359091	SR		87.2	3.1	90.3	5.5	4.2						1513666506.47689	1513666506.47689
211598	Chordata	Aves	Accipitriformes	Accipitridae	Accipiter	Accipiter nisus	GCA_004320145.1	35424	16835	HiseqX pair-end reads	Scaffold	1190649881	2019/02/16	PRJDB7807	SAMD00156791	SR	Yes	91.2	0.5	91.7	6	2.3						NA	NA
223781	Chordata	Aves	Accipitriformes	Accipitridae	Aquila	Aquila chrysaetos chrysaetos	GCA_900496995.4	21924221	11675937		Chromosome	1233704830	2021/03/26	PRJEB27699	SAMEA994725		LR-SR	92.5	1.2	93.7	1.7	4.6						1499015590.32924	1499015590.32924
224669	Chordata	Aves	Accipitriformes	Accipitridae	Buteo	Buteo japonicus	GCA_010312235.1	68496	32866	Illumina HiSeq	Scaffold	1259715124	2020/02/04	PRJNA431699	SAMN08398473	SR	SR	87.2	0.7	87.9	6.1	6						1530496551.00026	1530496551.00026
321084	Chordata	Aves	Accipitriformes	Accipitridae	Circaetus	Circaetus pectoralis	GCA_013399555.1	28952	15615	Illumina HiSeq	Scaffold	1183443218	2020/07/10	PRJNA545868	SAMN12253898	SR	Yes	90.4	0.1	90.5	2.7	6.8						NA	NA
8969	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus albicilla	GCA_000691405.1	25231	13490	Illumina HiSeq	Scaffold	1133549865	2014/05/15	PRJNA212896	SAMN02333670	SR	Yes	76.2	0.2	76.4	11.1	12.5						NA	NA
52644	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus leucocephalus	GCA_000737465.1	105493	53557	Illumina	Scaffold	1178409481	2014/08/04	PRJNA237821	SAMN02664716	SR	SR	91.2	0.2	91.4	3.8	4.8		1398540000	FCM	1990	one measure	1432090137.38514	1398540000
52647	Chordata	Aves	Accipitriformes	Accipitridae	Haliaeetus	Haliaeetus pelagicus	GCA_014363185.1	86669	42684	Illumina Novaseq6000	Scaffold	1175967700	2020/08/22	PRJDB10191	SAMD00237430	SR	SR	90.9	0.6	91.5	4.6	3.9						1429134783.9536	1429134783.9536
214438	Chordata	Aves	Accipitriformes	Accipitridae	Nisaetus	Nisaetus nipalensis	GCA_012487455.1	56570	25373	Illumina HiseqX	Scaffold	1200029769	2020/04/08	PRJDB7805	SAMD00156789	SR	SR	90.9	0.5	91.4	6.5	2.1						1458257755.33763	1458257755.33763
252798	Chordata	Aves	Accipitriformes	Accipitridae	Spizaetus	Spizaetus tyrannus	GCA_013399215.1	72446	38135	Illumina HiSeq	Scaffold	1184661130	2020/07/10	PRJNA545868	SAMN12253891	SR	SR	91.6	0.1	91.7	2.7	5.6						1439656676.85978	1439656676.85978
43455	Chordata	Aves	Accipitriformes	Cathartidae	Cathartes	Cathartes aura	GCA_000699945.1	15396	7016	Illumina HiSeq	Scaffold	1152571117	2014/06/11	PRJNA212890	SAMN02319050	SR	Yes	59.5	0.1	59.6	24.4	16						NA	NA
33616	Chordata	Aves	Accipitriformes	Cathartidae	Gymnogyps	Gymnogyps californianus	GCA_018139145.1	17075248	6046011	PacBio RSII; Phase Genomics HiC	Chromosome	1240179868	2021/04/25	PRJNA718609	SAMN18477433	LR		87	0.5	87.5	2	10.5		1476780000	FD	1985	one measure	1506852503.53835	1476780000
56262	Chordata	Aves	Accipitriformes	Pandionidae	Pandion	Pandion haliaetus	GCA_013401275.1	23815	10669	Illumina HiSeq	Scaffold	1147624024	2020/07/10	PRJNA545868	SAMN12253917	SR	Yes	69.3	0.3	69.6	18.1	12.3						NA	NA
56258	Chordata	Aves	Accipitriformes	Sagittariidae	Sagittarius	Sagittarius serpentarius	GCA_013399415.1	37053	17355	Illumina HiSeq	Scaffold	1139033624	2020/07/10	PRJNA545868	SAMN12253901	SR	Yes	75.5	0.4	75.9	13.3	10.8						NA	NA
40147	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser oxyrinchus oxyrinchus	GCA_013184475.1	1436	899	Illumina NextSeq	Contig	991502287	2020/05/28	PRJNA564091	SAMN14251471	SR		11.2	0.9	12.1	47	40.9						NA	NA
7906	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser ruthenus	GCA_010645085.1	601142	237568	Illumina NovaSeq; PacBio; Hi-C	Chromosome	1830501248	2020/02/19	PRJNA561280	SAMN12612932	LR-SR	LR	28.9	69.2	98.1	0.7	1.2		1819080000	FIA	2012	most recent	2221334398.55429	1819080000
7904	Chordata	Actinopteri	Acipenseriformes	Acipenseridae	Acipenser	Acipenser transmontanus	GCA_020113195.1	2596	1570	Illumina HiSeq	Scaffold	860366165	2021/09/23	PRJNA755998	SAMN20849129	SR		15.4	3.5	18.9	34.7	46.4						NA	NA
7913	Chordata	Actinopteri	Acipenseriformes	Polyodontidae	Polyodon	Polyodon spathula	GCA_017654505.1	3441286	1180859	Illumina HiSeq	Chromosome	1542083420	2021/03/31	PRJNA484687	SAMN09842169	SR		51.2	47.9	99.1	0.6	0.3		1975560000	FCM	1993	one measure	1872254518.86939	1975560000
442651	Xenacoelomorpha	NA	Acoela	Hofsteniidae	Hofstenia	Hofstenia miamia	GCA_900660155.1	14258	6728		Scaffold	949845848	2019/06/19	PRJEB30854	SAMEA5228626			70.8	2	72.8	10.1	17.1						NA	NA
6106	Cnidaria	Anthozoa	Actiniaria	Actiniidae	Actinia	Actinia equina	GCA_011057435.1	492607	253303	PacBio Sequel	Contig	409058306	2020/03/02	PRJNA479715	SAMN09602970	LR	LR	58.2	37.4	95.6	1.9	2.5		508560000	FCM	2017	one measure	500923650.671171	508560000
