GC protein
GCF_000146045.2 NP_010382.3
GCF_000002985.6 NP_491163.1
GCF_000001735.4 NP_192116.1
GCF_000001735.4 NP_001190656.1
GCF_000001405.40 NP_001393738.1
GCF_000001405.40 NP_001393725.1
GCF_000001405.40 NP_000170.1
GCF_000001405.40 NP_001393742.1
GCF_000001405.40 NP_001393724.1
GCF_000001405.40 NP_001393737.1
GCF_000001405.40 NP_001393727.1
GCF_000001405.40 NP_001393733.1
GCF_000001405.40 NP_001393755.1
GCF_000001405.40 NP_001393729.1
GCF_000001405.40 NP_001393759.1
GCF_000001405.40 NP_001393757.1
GCF_000001405.40 NP_001393756.1
GCF_000001405.40 NP_001393754.1
GCF_000001405.40 NP_001393753.1
GCF_000001405.40 NP_001393750.1
GCF_000001405.40 NP_001393749.1
GCF_000001405.40 NP_001393748.1
GCF_000001405.40 NP_001393747.1
GCF_000001405.40 NP_001393734.1
GCF_000001405.40 NP_001393726.1
GCF_000001405.40 NP_001393731.1
GCF_000001405.40 NP_001393751.1
GCF_000001405.40 NP_001393730.1
GCF_000001405.40 NP_001393736.1
GCF_000001405.40 NP_001393735.1
GCF_000001405.40 NP_001393728.1
GCF_000001405.40 NP_001268421.1
GCF_000001405.40 NP_001393758.1
GCF_000001405.40 NP_001393752.1
GCF_000001405.40 NP_001393745.1
GCF_000001405.40 NP_001393744.1
GCF_000001405.40 NP_001393743.1
GCF_000001405.40 NP_001393741.1
GCF_000001405.40 NP_001393740.1
GCF_000001405.40 NP_001268423.1
GCF_000001405.40 NP_001268422.1
GCF_000001405.40 NP_001393732.1
GCF_000001405.40 NP_001393746.1
GCF_000001405.40 NP_001394291.1
GCF_000001405.40 NP_001393761.1
GCF_000001405.40 NP_001393760.1
GCF_000001635.27 NP_034960.1
GCF_000001215.4 NP_648755.1
GCF_000002035.6 NP_878280.1
GCF_003013715.1 XP_028889489.2
GCF_003054445.1 XP_029321295.1
GCF_000026945.1 XP_002417862.1
GCF_000090985.2 XP_002508822.1
GCF_947243775.1 XP_056086753.1
GCF_947241705.1 XP_056081096.1
GCF_001640025.1 XP_018735698.1
GCF_029542925.1 XP_056061787.1
GCF_027921745.1 XP_056039714.1
GCF_001548555.1 XP_017989198.1
GCF_014133895.1 XP_037141601.1
GCF_011074865.1 XP_038777064.1
GCF_000002765.5 XP_001351613.1
GCF_013085055.1 XP_054559908.1
GCF_022201045.2 XP_006492326.2
GCF_019923935.1 XP_006048106.2
GCF_000143535.2 XP_024546240.1
GCF_000143535.2 XP_024546239.1
GCF_016906535.1 XP_043179773.1
GCF_001417885.1 XP_022675427.1
GCF_000002725.2 XP_001686770.1
GCF_002022765.2 XP_022302349.1
GCF_900002385.2 XP_022812345.1
GCF_000002515.2 XP_452992.1
GCF_009556855.1 XP_054118686.1
GCF_023724105.1 XP_052428100.1
GCF_023724105.1 XP_052428101.1
GCF_000091205.1 XP_005536384.1
GCF_000091205.1 XP_005537539.1
GCF_000687475.1 XP_042996729.1
GCF_026914185.1 XP_053017421.1
GCF_016861625.1 XP_041544748.1
GCF_000226095.1 XP_003665116.1
GCF_011074885.1 XP_041138007.1
GCF_024364675.1 XP_019867371.2
GCF_003290485.1 XP_027486000.1
GCF_016861735.1 XP_043132527.1
GCF_000091025.4 NP_986782.2
GCF_000740895.1 XP_009689004.1
GCF_020509005.1 XP_047755750.1
GCF_000092065.1 XP_001418476.1
GCF_023278565.1 XP_049150514.1
GCF_016861865.1 XP_041553170.1
GCF_026873545.1 XP_053012384.1
GCF_022605165.1 XP_047848361.1
GCF_000226115.1 XP_003654451.1
GCF_013368755.1 XP_035349077.1
GCF_900681995.1 XP_008624536.1
GCF_013402915.1 XP_037146311.1
GCF_000002545.3 XP_446716.1
GCF_002079055.1 XP_033765344.1
GCF_000237345.1 XP_003674855.1
GCF_000026365.1 XP_002495455.1
GCF_000243375.1 XP_003678672.1
GCF_000142805.1 XP_002555661.1
GCF_000304475.1 XP_003954810.1
GCF_000315915.1 XP_004181437.1
GCF_000348985.1 XP_022465962.1
GCF_000227115.2 XP_003672287.1
GCF_000002945.1 NP_588344.1
GCF_000182965.3 XP_722156.2
GCF_000091045.1 XP_024513779.1
GCF_000011425.1 XP_659312.1
GCF_014117465.1 XP_041144489.1
GCF_000002525.2 XP_505910.1
GCF_021134715.1 XP_046461715.1
GCF_000227135.1 XP_003865320.1
GCF_000027005.1 XP_002490975.1
GCF_900079805.1 XP_023427504.1
GCF_917563875.1 XP_028144780.1
GCF_000208865.1 XP_003881229.1
GCF_000214015.3 XP_022839237.1
GCF_000214015.3 XP_022840359.1
GCF_000315875.1 XP_003866016.1
GCF_001406875.1 XP_015062708.1
GCF_905220565.1 XP_045454809.1
GCF_000691945.2 XP_012647859.1
GCF_000091225.2 NP_586186.1
GCF_900007375.1 XP_025582078.1
GCF_026914265.1 XP_052795259.1
GCF_024334085.1 XP_055695973.1
GCF_024334085.1 XP_055695972.1
GCF_000755165.1 XP_010703139.1
GCF_905220415.1 XP_045504065.1
GCF_905220415.1 XP_045504064.1
GCF_000146465.1 XP_003073752.1
GCF_030253575.1 XP_058187807.1
GCF_030253575.1 XP_058187824.1
GCF_030253575.1 XP_058187817.1
GCF_030253575.1 XP_058187834.1
GCF_001680005.1 XP_019915474.1
GCF_000235365.1 XP_003645814.1
GCF_002220235.1 XP_007513008.1
GCF_002220235.1 XP_007513241.1
GCF_003576645.1 XP_031122660.1
GCF_000219625.1 XP_003856303.1
GCF_000187245.1 XP_013934301.1
GCF_000236905.1 XP_003684442.1
GCF_000236905.1 XP_003687087.1
GCF_015227675.2 NP_001385477.1
GCF_015227675.2 XP_038968982.1
GCF_001433935.1 XP_015611811.1
GCF_000003025.6 XP_003354884.1
GCF_000003025.6 XP_005662623.1
GCF_002263795.2 NP_001179666.1
GCF_002263795.2 XP_005212721.2
GCF_016699485.2 XP_015133604.2
GCF_016699485.2 NP_001383354.1
GCF_902167145.1 XP_020396805.1
GCF_000188115.5 XP_025886670.1
GCF_011100685.1 XP_038407164.1
GCF_003254725.2 XP_025321999.1
GCF_003254725.2 XP_048971831.1
