a,c,d,e,f,g,k,l,m,n,q,r,s,t,v,w,y,h,i,p,GC,u,x,j,z,b
161122,37184,171287,191425,130004,145833,215371,278915,61101,180542,115852,130315,263598,173450,163017,30506,99202,63662,192381,128370,GCF_000146045.2,,,,,
886030,265178,736770,920513,591926,735828,844944,1133283,351208,647488,586886,715995,1123986,814873,844593,143627,408909,315666,793090,701125,GCF_000002985.6,2,,,,
1310618,381668,1132139,1422415,877688,1326101,1331776,1991451,510500,916074,747788,1127353,1919757,1054876,1382249,255147,583710,475266,1102566,994313,GCF_000001735.4,,29,10,,
6390794,1986848,4590603,6997279,3222231,5914355,5671570,9184521,2020326,3494531,4716583,5266623,8212172,5097925,5527251,1069993,2393373,2493112,4066788,6017882,GCF_000001405.40,82,26,,,
4504888,1411088,3235893,4787868,2254110,4117857,3864859,6392426,1426806,2361764,3307033,3740883,5879906,3641386,3894852,738519,1681781,1751343,2775295,4227164,GCF_000001635.27,67,51,,,
1526653,385118,1055331,1318762,673730,1281638,1117699,1778759,459208,970972,1107577,1111217,1760628,1190542,1191622,187898,573988,541832,976183,1168493,GCF_000001215.4,4,545,,,
2421950,813862,2042002,2785721,1319140,2293597,2340629,3539182,906132,1531431,1896963,2119633,3509286,2225979,2353425,395041,998628,1015261,1736595,2204324,GCF_000002035.6,58,374,,1,
177410,29762,156727,181924,116063,144671,183197,245740,54251,128490,104499,126218,241303,142055,163983,28019,85988,61605,148075,124428,GCF_003013715.1,,,,,
137985,32794,158073,180670,116943,136925,193875,250461,56120,160906,100030,114523,231036,148926,153686,25831,92770,56328,176732,110633,GCF_003054445.1,,,,,
147107,31631,174321,191534,130839,149776,218586,272665,53022,203309,133370,112094,266087,181386,158672,28690,105980,62744,215563,132111,GCF_000026945.1,,,,,
617606,77076,316385,330240,154298,431763,217454,391201,107630,132742,126357,374633,321733,251262,353652,63838,99052,100890,156466,272200,GCF_000090985.2,,,,,
158709,35509,166187,183621,124843,143099,201522,267935,58559,167720,110562,126837,251290,161153,158254,29091,92597,59926,180848,120478,GCF_947243775.1,,,,,
151323,35884,164102,184106,125394,140754,205144,268592,58480,172060,110009,124405,253748,164690,158594,29331,93788,60191,184939,119009,GCF_947241705.1,,,,,
198812,25263,154888,166058,98361,169268,147799,233494,47578,121178,104619,132126,258422,158368,166473,28509,79476,57660,147843,138430,GCF_001640025.1,,,,,
230915,25631,120649,129192,72248,129136,84912,206639,54113,64123,91535,141695,149922,119587,139224,27494,56172,62008,85165,125733,GCF_029542925.1,,,,,
145940,32433,125044,154418,106568,117401,144977,227480,49985,118017,94715,117413,215941,123817,138412,26060,79164,54646,133187,114148,GCF_027921745.1,,,,,
134046,28951,129438,149376,92196,117295,152722,217084,48398,117480,90369,107261,192206,123668,136272,23540,76516,48917,136715,98884,GCF_001548555.1,,,,,
158092,32203,140629,164385,101697,133445,158106,235744,50032,114419,99060,127834,209768,126510,145832,25860,77061,51199,136842,105411,GCF_014133895.1,,,,,
433951,36559,230290,220547,129240,278515,175366,349400,74290,128005,172655,249229,393725,234491,234802,46858,89507,97137,155919,241239,GCF_005498985.1,,,,,
147205,31322,153805,165449,104724,138327,171438,232543,56606,118774,96136,122006,220879,135030,150011,24244,84828,50106,149276,105832,GCF_011074865.1,,,,,
80338,72414,265444,292783,179579,115632,481961,311904,89948,592170,113287,108125,261673,167002,155852,20094,233992,99026,379992,81117,GCF_000002765.5,4,,,,
669472,108275,466136,495198,308095,545565,402115,715350,179517,305003,322053,471317,648367,484512,492034,127840,228543,193419,418296,468747,GCF_013085055.1,,,,,
1329656,408688,1099201,1363054,871774,1306075,1287374,2100697,486101,968821,776492,1085376,1859597,967850,1311758,262077,571152,488037,1120822,974553,GCF_022201045.2,,238,,,
3285291,977478,2260130,3448698,1583468,2997622,2752356,4518220,954523,1621904,2266569,2689975,4026194,2514142,2818353,542750,1172228,1190252,1961281,3085327,GCF_019923935.1,41,996,,,
520614,79987,375036,441983,251643,457362,366487,573636,151623,290697,266157,381999,601373,415241,386316,93121,190234,154760,370045,396850,GCF_000143535.2,,,,,
556707,80325,352430,395489,231903,436531,334185,596925,131643,251576,258512,392835,552927,413723,399317,102691,182340,170875,331802,452340,GCF_016906535.1,,,,,
143172,30154,146792,170104,106862,131229,178464,237128,52909,137164,104786,108388,219205,140955,149959,26846,83806,54396,153855,109355,GCF_001417885.1,,,,,
628704,99374,254316,313161,154804,338393,174260,480355,118159,136959,214141,375591,470915,314287,374897,56469,125956,141451,155988,303060,GCF_000002725.2,,2,,,
2073844,954500,2264951,2725562,1464512,2281432,2656144,3282597,935445,1999134,1752882,1995084,3367334,2458355,2420666,404195,1247928,943052,2116555,1930532,GCF_002022765.2,18,5282,,,
87748,65795,224498,270952,183306,120386,450667,301143,70516,495471,104748,95494,271810,160797,135923,18904,208899,70030,373274,80770,GCF_900002385.2,4,,,,
138031,30438,149049,164791,107992,125717,173918,239057,51222,136778,103486,107233,217538,143741,147939,26860,82550,53896,156230,106037,GCF_000002515.2,,,,,
410600,58416,286403,312854,187485,326276,244366,448585,107730,199864,209526,298710,422837,309393,304181,71400,146018,119818,271884,287679,GCF_009556855.1,,,,,
4169994,1476153,3563900,4838521,2255449,4202555,3986286,6085269,1562001,2646624,3414642,3694395,6221270,3926398,4125954,698735,1752397,1784012,2982725,3984241,GCF_023724105.1,64,703,,,
273755,44081,121794,156171,81515,158468,68318,255190,45295,63429,106799,216629,195666,138700,167045,37758,56625,61568,90014,137050,GCF_000091205.1,,1,,,
384971,52081,231066,227140,134796,282475,180162,348183,85279,128733,163497,267515,324408,215003,243848,53781,96994,98156,161539,245914,GCF_000687475.1,,,,,
403973,64452,265459,281333,176598,296393,260001,474986,94382,203522,226787,289600,479274,293848,260736,58651,113722,140687,246341,364485,GCF_026914185.1,,,,,
492397,77122,328628,358852,217215,394398,259118,535210,129011,210367,236524,359395,487510,354101,364231,87730,170726,144249,289821,352475,GCF_016861625.1,,,,,
423554,48948,245034,274035,146060,324860,192678,374166,84827,139329,169001,297559,339141,246636,266043,59979,109667,99156,176791,288190,GCF_000226095.1,,,,,
167990,36308,163953,179271,115065,156233,202064,247793,61440,139570,103597,139228,245670,147741,159249,26735,92153,56358,165030,114453,GCF_011074885.1,,5,,,
756967,254466,752598,938191,481872,721310,959021,1164319,299049,732107,596849,656168,1072064,794587,817931,131146,426145,316400,771844,720501,GCF_024364675.1,,45,,,
211864,28960,126266,128262,69936,122974,81079,209432,59640,58456,91790,152007,169469,122766,144173,31257,57707,71239,85873,135588,GCF_003290485.1,,,,,
390995,57026,271313,304086,175662,322287,227370,418930,104295,184302,201636,296401,392822,279803,287852,67142,133497,115960,231068,291840,GCF_016861735.1,,,,,
183812,31732,131968,153558,92018,138981,132232,234151,51062,95875,99483,135959,186008,127025,151607,26218,76402,55762,117724,113559,GCF_000091025.4,,,,,
98104,33968,117139,140814,91762,105611,158260,197787,46834,128369,63048,98687,178475,114651,133503,16886,87102,45364,117746,77169,GCF_000740895.1,,,,,
570646,79581,371295,390119,218392,433168,307931,535969,142545,227358,270978,386751,492060,386305,376314,92627,174177,157626,289042,372557,GCF_020509005.1,,,,,
365193,51418,195837,216005,109041,219977,150951,258416,73677,91871,81206,229057,206490,174958,225621,37508,72292,60165,119968,129735,GCF_000092065.1,,,,,
738951,124470,448589,472918,323294,587069,387103,753566,181614,303469,328018,531636,717054,524484,513741,129706,224771,214695,404237,545034,GCF_023278565.1,,,,,
546338,84371,367571,388824,247425,455036,285197,589050,136254,237235,257453,389687,531068,384050,403417,98670,187227,154501,326106,386832,GCF_016861865.1,,,,,
624486,94396,422130,450680,278072,506634,350391,646230,161359,259642,284044,430357,571510,427725,452287,116590,201026,170786,360459,434217,GCF_026873545.1,,,,,
560457,72477,342990,330187,201202,423321,251986,501670,128819,183745,225112,382438,454810,328754,365008,83865,146150,141385,239542,357567,GCF_022605165.1,,,,,
475324,53965,253805,275302,155590,341221,192450,404681,88739,139698,177147,312993,349502,255881,285251,65493,113827,105319,182142,309557,GCF_000226115.1,,,,,
521539,77341,363402,382242,245533,421907,298795,574186,132169,249829,260034,365615,532011,381782,388995,94878,183541,152827,333745,361729,GCF_013368755.1,,,,,
83102,55798,201695,242511,160112,110307,393404,272426,66424,426237,95938,89887,247048,148481,126761,16990,185113,66585,326441,79469,GCF_900681995.1,,,,,
145947,33466,147947,169163,111569,133914,176938,242142,53275,140807,102148,118457,229187,140274,146706,26405,83615,54678,159522,105587,GCF_013402915.1,,,,,
146067,30662,162558,178326,110372,138539,192644,245690,58325,159160,103610,117059,229012,154422,153964,26145,92013,55643,172064,112109,GCF_000002545.3,,,,,
155197,35058,185507,197435,134388,156467,221645,277172,60566,199994,114594,120650,279570,164610,163078,29823,108264,62753,211733,127653,GCF_000006445.2,,1,,,
154197,34830,163924,183147,123913,141639,203339,266351,57753,169481,109910,123621,249796,162937,156400,29035,92698,59155,181957,120396,GCF_002079055.1,,,,,
143928,32415,164867,186520,121529,134408,202393,266592,60605,172720,112075,119531,238987,172568,151771,28405,91426,57858,186937,122819,GCF_000237345.1,,5,,,
144556,30572,146544,168835,107129,140383,165288,238084,51754,132900,111113,120673,214926,134260,149239,27401,80573,55306,139334,116909,GCF_000026365.1,,,,,
147808,31291,144109,165499,103741,130018,166246,235247,51383,122237,100908,118990,208656,133961,147701,26157,79192,51833,141742,106355,GCF_000243375.1,,90,,,
176063,33545,139823,169171,109536,141960,162269,244716,50381,115340,105896,127759,225159,135595,155395,27278,76813,54799,132376,116467,GCF_000142805.1,,,,,
135789,30834,156322,175125,118928,122898,193643,253986,53836,171755,98248,111749,232785,155502,144432,26321,90381,53217,182698,104316,GCF_000304475.1,,16,,,
136150,32360,172119,178436,125967,127604,216778,273018,57671,234493,115434,112729,275636,185174,140983,27322,99983,60028,219311,123923,GCF_000315915.1,,58,,,
166859,34088,157381,171506,112532,150044,174188,255517,56545,138996,110600,131793,220399,160692,167698,28132,85164,58292,149740,121432,GCF_000348985.1,,192,,,
137952,32410,172107,188218,123594,133559,214994,270255,59952,205898,116211,118308,253713,181465,144987,27686,95760,60911,207366,123736,GCF_000227115.2,,148,,,
148205,34987,127216,155463,109833,117223,153301,235151,49242,124087,90964,115975,224544,131055,143697,26635,81484,53882,146649,112270,GCF_000002945.1,,,,,
150308,31813,176029,192779,131005,151185,219163,274173,53036,199427,133843,112231,267452,183086,161662,28869,105656,62295,211734,133258,GCF_000182965.3,3,164,3,1,4
308999,37965,198778,244174,125922,262465,191645,328263,79649,126011,142859,220968,335676,214387,223192,50925,93786,86735,177450,246889,GCF_000091045.1,,39,,,1
2341647,729200,1828220,2541749,1188059,2191768,2030543,3270270,790255,1317412,1742550,1998026,3252603,2011333,2156912,372169,868275,911768,1449389,2125959,GCF_002234675.1,36,105,,,
434393,63913,282676,314344,188414,344640,231677,464958,104591,186567,204249,317832,425435,302782,310867,74306,146919,120333,254078,304156,GCF_000011425.1,,,,,
505150,78821,342682,372007,233268,416228,280163,561419,131491,227785,244912,361632,501666,363923,383579,92885,179909,148278,313755,357688,GCF_014117465.1,,,,,
246392,38138,188499,205012,122518,200747,185589,274298,71264,127296,131867,159275,259317,192587,211694,37827,94580,75468,155440,170894,GCF_000002525.2,,,,,
1369543,405721,1029238,1235379,686625,1209327,1020354,1685001,418525,894958,929715,1053232,1784059,1168922,1238448,209621,529133,476376,942651,1173804,GCF_021134715.1,8,81,,,
593877,91718,239733,292295,145624,320874,163491,452208,111214,129391,201866,356919,436861,295609,348476,52774,117981,134012,146818,287630,GCF_000227135.1,,821,,,
132138,28054,142026,162930,107020,122893,166835,243137,44487,128243,100717,109337,213989,136375,145569,24777,79903,51111,152134,107672,GCF_000027005.1,,140,,,
595931,95528,420812,445818,273008,484380,361932,636517,159661,271126,287580,418686,582980,431367,437310,111444,202377,172257,370500,420700,GCF_900079805.1,,15,,,
1149484,542734,1263139,1768639,830367,1179052,1772478,1877877,418218,1247073,1009342,1031261,1834245,1591611,1373882,202892,682866,543888,1391174,1211358,GCF_917563875.1,,64,,,
282783,35384,182278,225249,115613,239922,177529,303569,73658,116247,131266,202658,308434,196423,205594,46295,85587,80176,164869,224744,GCF_000185945.1,,,,,
657573,112204,293447,455967,195134,476019,233449,526948,79759,132503,231469,488433,610183,290923,340514,60217,86880,127362,138059,401391,GCF_000208865.1,,,,,
409249,57506,225940,256166,123027,259483,167594,291820,87016,104609,92108,284132,255122,205905,264709,43437,79493,68937,138850,150978,GCF_000214015.3,,197,,,
157279,30335,168929,185156,123635,149769,202356,260588,52183,164355,127534,117750,252721,163113,163619,27904,98558,63740,182777,126214,GCF_000315875.1,,1337,,,
1144050,336906,968122,1189577,742557,1127845,1143676,1703082,440384,852333,684018,922315,1619200,875952,1159935,218793,517687,427995,986834,864328,GCF_001406875.1,,482,,,
539996,159673,434104,521697,284101,423801,524303,720458,167326,395427,302096,448541,602638,448160,490338,88630,254464,192296,442639,412271,GCF_905220565.1,,247,,,
79287,33633,92023,88109,70807,78102,114202,158399,34914,101452,52822,69538,132770,85140,87214,15139,62813,38112,127606,61479,GCF_000691945.2,,2,,,
36146,14469,39430,58538,34136,46674,51035,67927,21322,27969,16229,48056,56968,29278,50607,5541,26028,13695,47937,23736,GCF_000091225.2,,,,,
526910,84620,378687,398637,243625,433699,326931,561184,145990,250017,259607,371950,525864,394572,395127,98027,181377,152256,331780,378343,GCF_900007375.1,,,,,
2410745,982408,2546480,2844990,1548292,2527375,2690255,3458797,1041545,2072039,1838498,2191760,3466094,2694464,2660362,421632,1280558,1046062,2184404,2013153,GCF_026914265.1,19,225,,,
992045,275878,825008,1088191,551268,900791,956038,1271666,356339,703195,705609,828700,1239618,921263,927453,150701,427571,384669,827475,879211,GCF_024334085.1,3,43,,,
537053,91989,233613,289797,145288,305271,163570,457338,111562,135181,202594,341249,433136,305341,353096,52950,119723,134329,153328,275861,GCF_000755165.1,1,,,,
921851,251376,721261,867397,436301,715406,815333,1141120,284088,624205,523614,751565,1004813,744260,792877,138850,395506,324499,674478,719551,GCF_905220415.1,,44,,,
27498,12542,35700,56815,33533,40085,54999,62402,19171,29872,15419,38400,52086,27158,42987,4862,25256,11538,50075,20509,GCF_000146465.1,,,,,
1541886,459912,1260907,1579713,997603,1586782,1433306,2357509,572805,1046771,871587,1293038,2102987,1163890,1573697,313189,662217,571028,1241057,1182605,GCF_030253575.1,,334,,,
159002,74917,222641,294214,166741,219992,367003,313961,84443,307510,128679,174372,300180,186189,204481,26371,162382,99946,236197,129124,GCF_001680005.1,,,,,
124711,28950,124061,140355,90925,118703,145317,210716,46433,113582,91344,103507,190116,119436,133658,23159,73929,48888,132722,94501,GCF_000235365.1,,5,,,
338615,65532,249315,347710,165886,266227,302079,323166,97085,192077,130547,252792,338101,235664,262083,44049,96725,77148,173904,156891,GCF_002220235.1,,735,,,
1367441,393751,1080644,1338167,846193,1323059,1247787,1978596,490204,941712,753150,1069185,1807670,975053,1301901,263853,570992,488990,1090224,1001896,GCF_003576645.1,,259,,,
435150,60704,278496,301124,173767,336261,234756,420194,107659,170851,193047,296672,380663,291045,294137,69813,128129,116965,223386,278705,GCF_000219625.1,,,,,
163316,31447,145724,171841,108896,133583,167250,253433,52136,115628,102295,123342,207939,136290,159083,26782,86725,53032,142671,115364,GCF_000187245.1,,,,,
132132,29777,162863,178081,117717,123035,208132,253474,54559,196311,98129,103787,240264,158713,146222,25166,97388,52017,198248,99984,GCF_000236905.1,,29,,,
3528346,1099475,2547500,3812613,1780366,3218018,3093732,5043750,1100245,1833330,2561393,2924915,4534391,2864328,3155101,589868,1336716,1349743,2211487,3287668,GCF_015227675.2,52,341,,,
1787569,389801,1106382,1224269,742780,1436208,1022941,1932058,498864,749157,705984,1234296,1695447,958422,1346445,256827,531435,508475,923686,1084621,GCF_001433935.1,,317,,,
