Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Annotation Count Gene Non-coding
GCF_000146045.2	R64	Saccharomyces cerevisiae S288C		S288C					SGD R64-3-1	12071326	Complete Genome	12/17/14		924431	924431								Saccharomyces Genome Database	PRJNA43747		6465	6017	18	430
GCF_000002985.6	WBcel235	Caenorhabditis elegans		Bristol N2					WormBase WS289	100272607	Complete Genome	2/7/13		17493829	17493829								C. elegans Sequencing Consortium	PRJNA13758		46927	19984	2131	24811
GCF_000001735.4	TAIR10.1	Arabidopsis thaliana				Columbia			Annotation submitted by TAIR and Araport	119146348	Chromosome	3/15/18		11194537	23459830								The Arabidopsis Information Resource (TAIR)	PRJNA10719	SAMN03081427	38312	27562	4851	5884
GCF_000001405.40	GRCh38.p14	Homo sapiens							GCF_000001405.40-RS_2023_03	3099441038	Chromosome	2/3/22		57879411	67794873	0.99194485	0.9846879	0.007256894	0.001523948	0.006531205	primates_odb10		Genome Reference Consortium	PRJNA31257		59444	20080	16998	21954
GCF_000001635.27	GRCm39	Mus musculus		C57BL/6J					GCF_000001635.27-RS_2023_04	2728206152	Chromosome	6/24/20		59462871	106145001	0.9946369	0.98594	0.008696913	0.001594434	0.003768662	glires_odb10		Genome Reference Consortium	PRJNA20689		50562	22192	10363	17507
GCF_000001215.4	Release 6 plus ISO1 MT	Drosophila melanogaster							FlyBase Release 6.46	143706478	Chromosome	8/1/14		21485538	25286936								The FlyBase Consortium/Berkeley Drosophila Genome Project/Celera Genomics	PRJNA13812	SAMN02803731	17894	13962	339	3565
GCF_000002035.6	GRCz11	Danio rerio		Tuebingen					NCBI Annotation Release 106	1373454788	Chromosome	5/9/17		1422317	7379053	0.9873626	0.97307694	0.014285714	0.006593407	0.006043956	actinopterygii_odb10		Genome Reference Consortium	PRJNA11776	SAMN06930106	40031	26448	330	13161
GCF_003013715.1	ASM301371v2	[Candida] auris		B11220					Annotation submitted by Centers for Disease Control and Prevention	12249773	Complete Genome	9/10/19		2336890	2336890							Oxford_Nanopore	Centers for Disease Control and Prevention	PRJNA328792	SAMN05379608	5494	5327	4	163
GCF_003054445.1	ASM305444v1	Pichia kudriavzevii		CBS573					Annotation submitted by University College Dublin	10812555	Complete Genome	4/17/18		2745854	2745854							PacBio	University College Dublin	PRJNA434433	SAMN08558011	5324	5139		185
GCF_000026945.1	ASM2694v1	Candida dubliniensis CD36		CD36					Annotation submitted by Wellcome Trust Sanger Institute	14618422	Complete Genome	2/16/09		2267510	2267510								Wellcome Trust Sanger Institute	PRJEA34697	SAMEA2272258	6093	5859	122	112
GCF_000090985.2	ASM9098v2	Micromonas commoda		RCC299					Annotation submitted by Micromonas genome consortium	20989326	Complete Genome	4/10/09		1394110	1394110								Micromonas genome consortium	PRJNA15676	SAMN03081421	10125	10049	4	72
GCF_947243775.1	Skud-IFO1802	Saccharomyces kudriavzevii IFO 1802		IFO1802					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	11913776	Complete Genome	11/1/22		901691	901691							PacBio	UNIVERSITY COLLEGE DUBLIN	PRJEB57075	SAMEA111517677	5880	5603	4	273
GCF_947241705.1	Smik-IFO1815	Saccharomyces mikatae IFO 1815		IFO1815					Annotation submitted by UNIVERSITY COLLEGE DUBLIN	12104871	Complete Genome	11/1/22		811203	811203							PacBio	UNIVERSITY COLLEGE DUBLIN	PRJEB57075	SAMEA111517679	5849	5573	4	272
GCF_001640025.1	ASM164002v2	Sugiyamaella lignohabitans		CBS 10342					Annotation submitted by University of Natural Resources and Life Sciences	15938258	Complete Genome	5/6/16		4956242	4956242								University of Natural Resources and Life Sciences	PRJNA308900	SAMN04417247	5341	5128		213
GCF_029542925.1	ASM2954292v1	Malassezia vespertilionis		CBS 15041					Annotation submitted by Duke University	7595203	Complete Genome	4/3/23		844328	844328							Oxford Nanopore MinION; Illumina MiSeq	Duke University	PRJNA833070	SAMN27958052	4022	3964		58
GCF_027921745.1	ASM2792174v1	Schizosaccharomyces osmophilus		CBS 15793					"Annotation submitted by National Institute of Biological Sciences, Beijing China"	11416521	Complete Genome	1/20/23		3504162	3504162							PacBio;Illumina NovaSeq	"National Institute of Biological Sciences, Beijing China"	PRJNA870673	SAMN30381985	5574	5098		476
GCF_001548555.1	ASM154855v1	Eremothecium sinecaudum		ATCC 58844					Annotation submitted by Duke University	8922523	Complete Genome	2/4/16		1398029	1398029							Illumina	Duke University	PRJNA310026	SAMN04445727	4970	4528		442
GCF_014133895.1	ASM1413389v1	Torulaspora globosa		CBS764					Annotation submitted by University College Dublin	9281121	Complete Genome	8/10/20		1122226	1122226							PacBio	University College Dublin	PRJNA625704	SAMN14605265	5129	4930	1	198
GCF_005498985.1	PGRAM_IIB_1.0	Sporisorium graminicola		CBS 10092					"Annotation submitted by University of Liverpool, Institute of Integrative Biology"	19565848	Chromosome	6/6/19	SRRM01	823447	966477							PacBio RS	"University of Liverpool, Institute of Integrative Biology"	PRJNA522874	SAMN10959236	6602	6591	11	
GCF_011074865.1	ASM1107486v2	Brettanomyces nanus		CBS 1945					Annotation submitted by Australian Wine Research Institute	10117252	Complete Genome	12/3/20		3303233	3303233							Oxford Nanopore MinION	Australian Wine Research Institute	PRJNA554210	SAMN12257692	4823	4711		112
GCF_000002765.5	GCA_000002765	Plasmodium falciparum 3D7					3D7		Annotation submitted by Plasmodium falciparum Genome Sequencing Consortium	23292622	Complete Genome	4/7/16		1687656	1687656								Plasmodium falciparum Genome Sequencing Consortium	PRJNA13173	SAMN00102897	5683	5312	158	213
