GC,protein,Organism,MutS,Tudor,PWWP,tudor_tblastn,tudor_neighbor,PWWP_tblastn,PWWP_neighbor,Tudor_domain,Tudor_interpro,PWWP_domain,PWWP_interpro
GCF_000146045.2,NP_010382.3,Saccharomyces cerevisiae S288C,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: Inf;neighbor protein dist: Inf,Inf,Inf,Inf,Inf,FALSE,FALSE,FALSE,FALSE
GCF_000002985.6,NP_491163.1,Caenorhabditis elegans,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;dist_tblastn dist: 2046138;neighbor protein dist: 2537173,Inf,Inf,2046138,2537173,FALSE,FALSE,FALSE,FALSE
GCF_000001735.4,NP_192116.1,Arabidopsis thaliana,TRUE,;domain_blast;interpro;dist_tblastn dist: 360;neighbor protein dist: 0,;dist_tblastn dist: Inf;neighbor protein dist: Inf,360,0,Inf,Inf,TRUE,TRUE,FALSE,FALSE
GCF_000001735.4,NP_001190656.1,Arabidopsis thaliana,TRUE,;domain_blast;interpro;dist_tblastn dist: 360;neighbor protein dist: 0,;dist_tblastn dist: Inf;neighbor protein dist: Inf,360,0,Inf,Inf,TRUE,TRUE,FALSE,FALSE
GCF_000001405.40,NP_001393738.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393725.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_000170.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393742.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393724.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393737.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
GCF_000001405.40,NP_001393727.1,Homo sapiens,TRUE,;dist_tblastn dist: Inf;neighbor protein dist: Inf,;domain_blast;interpro;dist_tblastn dist: 7706;neighbor protein dist: 0,Inf,Inf,7706,0,FALSE,FALSE,TRUE,TRUE
