GC Protein human_name arabidopsis_name organism
GCF_000146045.2 NP_014551.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces cerevisiae S288C"
GCF_000146045.2 NP_011988.1 "DNA mismatch repair protein Msh3 [Homo sapiens]" "MUTS homolog 2 [Arabidopsis thaliana]" "Saccharomyces cerevisiae S288C"
GCF_000002985.6 NP_491202.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Caenorhabditis elegans"
GCF_000001735.4 NP_850630.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_001326470.1 "DNA mismatch repair protein Msh6" "MUTS homolog 7 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_566804.3 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_200220.2 "DNA mismatch repair protein Msh3 [Homo sapiens]" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_176687.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_001320497.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_001185315.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001735.4 NP_001320498.1 "DNA mismatch repair protein Msh6" "DNA mismatch repair protein MutS, type 2 [Arabidopsis thaliana]" "Arabidopsis thaliana"
GCF_000001405.40 NP_001393583.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393574.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 XP_047300372.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393561.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393569.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393568.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393575.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001245210.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393573.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393566.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393572.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393571.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393577.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393582.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393563.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393570.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_000242.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393560.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393564.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393603.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393562.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393585.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393565.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393580.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393581.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393576.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393579.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393578.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393591.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393590.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393589.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393588.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393587.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393598.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393567.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393584.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393586.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393595.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001405.40 NP_001393601.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Homo sapiens"
GCF_000001635.27 NP_032654.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Mus musculus"
GCF_000001215.4 NP_523565.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila melanogaster"
GCF_000001215.4 NP_001285931.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila melanogaster"
GCF_000001215.4 NP_001246031.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila melanogaster"
GCF_000001215.4 NP_001014482.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Drosophila melanogaster"
GCF_000002035.6 NP_998689.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Danio rerio"
GCF_003013715.1 XP_028888385.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] auris"
GCF_003013715.1 XP_028888428.2 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "[Candida] auris"
GCF_003054445.1 XP_029320790.1 "DNA mismatch repair protein Msh2" "MUTS homolog 2 [Arabidopsis thaliana]" "Pichia kudriavzevii"
