uniprot	embl	organism	tax_id	prot_len	gene	product	tudor_start	tudor_end	tudor_len	has_genomic_exons	n_total_exons	n_exons_in_tudor	break_from_tudor_start
A0A010RST0	EXF75338.1	Colletotrichum fioriniae PJ7	1445577	886			647	770	124	False	1	0	
A0A015N8H0	EXX75488.1	Rhizophagus irregularis (strain DAOM 197198w)	1432141	879			649	768	120	True	16	3	65
A0A016RVA5	EYB82263.1	Ancylostoma ceylanicum	53326	397	Acey_s0363.g3528		163	277	115	True	11	4	3
A0A016RVC9	EYB82266.1	Ancylostoma ceylanicum	53326	566	Acey_s0363.g3528		332	446	115	True	17	4	3
A0A016RW96	EYB82264.1	Ancylostoma ceylanicum	53326	599	Acey_s0363.g3528		365	479	115	True	17	4	3
A0A016RX95	EYB82931.1	Ancylostoma ceylanicum	53326	513	Acey_s0346.g3129		319	429	111	True	12	4	44
A0A016SUH5	EYB94383.1	Ancylostoma ceylanicum	53326	909	Acey_s0172.g359		708	790	83	True	19	3	28
A0A016U804	EYC10733.1	Ancylostoma ceylanicum	53326	502	Acey_s0054.g2522		67	142	76	True	15	3	40
A0A016U904	EYC11804.1	Ancylostoma ceylanicum	53326	232	Acey_s0049.g1781		113	224	112	True	5	3	36
A0A016U9F9	EYC11805.1	Ancylostoma ceylanicum	53326	270	Acey_s0049.g1781		151	262	112	True	5	2	74
A0A016UA34	EYC11806.1	Ancylostoma ceylanicum	53326	267	Acey_s0049.g1781		148	259	112	True	5	3	1
A0A016V4V6	EYC22704.1	Ancylostoma ceylanicum	53326	467	Acey_s0016.g2906		298	373	76	True	9	3	6
A0A016V5I3	EYC22705.1	Ancylostoma ceylanicum	53326	606	Acey_s0016.g2906		437	512	76	True	15	2	36
A0A016V7K2	EYC22703.1	Ancylostoma ceylanicum	53326	469	Acey_s0016.g2906		300	375	76	True	9	3	4
A0A016VJ68	EYC27351.1	Ancylostoma ceylanicum	53326	279	Acey_s0009.g667		45	155	111	True	9	4	23
A0A016VRL1	EYC30209.1	Ancylostoma ceylanicum	53326	269	Acey_s0005.g2511		74	190	117	True	5	4	9
A0A016VS09	EYC30205.1	Ancylostoma ceylanicum	53326	183	Acey_s0005.g2511		67	180	114	True	3	2	29
A0A016VSB9	EYC30206.1	Ancylostoma ceylanicum	53326	190	Acey_s0005.g2511		74	187	114	True	3	2	22
A0A016VT30	EYC30207.1	Ancylostoma ceylanicum	53326	218	Acey_s0005.g2511		67	180	114	True	4	3	12
A0A016VTX8	EYC30208.1	Ancylostoma ceylanicum	53326	262	Acey_s0005.g2511		67	183	117	True	5	4	16
A0A017SN88	EYE98443.1	Aspergillus ruber (strain CBS 135680)	1388766	887			654	777	124	True	2	1	
A0A022Q9C8	EYU24546.1	Erythranthe guttata	4155	989			744	859	116	True	16	3	28
A0A022XS06	EZF73520.1	Trichophyton soudanense CBS 452.61	1215331	883			652	774	123	True	2	1	
A0A023BD88	EZG87276.1	Gregarina niphandrodes	110365	784			618	735	118	False	1	0	
A0A023EQT0	JAC10974.1	Aedes albopictus	7160	324			187	268	82	False	1	0	
A0A023EU52	JAC12933.1	Aedes albopictus	7160	586			446	520	75	False	1	0	
A0A023EU64	JAC12940.1	Aedes albopictus	7160	588			275	377	103	False	1	0	
A0A023EWD1	JAC13550.1	Aedes albopictus	7160	1178			522	1104	583	False	1	0	
A0A023EWN6	JAC13750.1	Triatoma infestans	30076	1689			466	1626	1161	False	1	0	
A0A023EWV9	JAC13638.1	Triatoma infestans	30076	1145			527	1076	550	False	1	0	
A0A023EY38	JAC13449.1	Aedes albopictus	7160	921			715	796	82	False	1	0	
A0A023EYM9	JAC13704.1	Triatoma infestans	30076	1339			574	950	377	False	1	0	
A0A023EZH7	JAC14657.1	Triatoma infestans	30076	1397			847	988	142	False	1	0	
A0A023F680	JAC16723.1	Triatoma infestans	30076	2215			40	2202	2163	False	1	0	
A0A023FCA7	JAC19327.1	Amblyomma cajennense	34607	374			308	374	67	False	1	0	
A0A023FCH2	JAC19461.1	Amblyomma cajennense	34607	149			23	140	118	False	1	0	
A0A023FLA3	JAC22407.1	Amblyomma cajennense	34607	894			689	769	81	False	1	0	
A0A023FP13	JAC22408.1	Amblyomma cajennense	34607	895			690	770	81	False	1	0	
A0A023FT99	JAC24639.1	Amblyomma parvum	251391	383			239	314	76	False	1	0	
A0A023FVU7	JAC24850.1	Amblyomma parvum	251391	168			4	99	96	False	1	0	
