species	protein	reader_type	n_exons	total_aa
Acropora_millepora	XP_044184150.1	PWWP	39	1371
Aedes_aegypti	EAT36110.1	none	4	1131
Amborella_trichopoda	XP_006841417.1	Tudor	21	1363
Amphimedon_queenslandica	XP_019855210.1	none	31	1165
Anolis_carolinensis	XP_008100917.1	PWWP	10	1325
Apis_mellifera	XP_392346.4	none	21	1130
Arabidopsis_thaliana	NP_192116.1	Tudor	21	1325
Asparagus_officinalis	XP_020269981.1	Tudor	21	1310
Aspergillus_niger	CAK44621.1	none	4	1194
Aureococcus_anophagefferens	XP_009034367.1	Tudor	3	1141
Beta_vulgaris_subsp._vulgaris	XP_010679365.1	Tudor	21	1302
Bombyx_mandarina	XP_028038931.1	none	19	1136
Branchiostoma_belcheri	XP_019632875.1	PWWP	33	1325
Caenorhabditis_elegans	NP_491163.1	none	8	1187
Callorhinchus_milii	XP_042189105.1	PWWP	6	1024
Cannabis_sativa	KAF4383569.1	Tudor	22	1285
Capitella_teleta	ELU18588.1	PWWP	27	1271
Centruroides_sculpturatus	XP_023218018.1	PWWP	32	1294
Ceratopteris_richardii	KAH7428807.1	Tudor	21	1366
Chara_braunii	GBG86212.1	Tudor	17	1383
Chlamydomonas_reinhardtii	PNW83581.1	none	21	1264
Chlorella_vulgaris	KAI3430702.1	Tudor	23	1439
Chondrus_crispus	CDF39965.1	none	5	954
Citrus_sinensis	XP_006492326.2	Tudor	21	1289
Coccomyxa_subellipsoidea_C-169	XP_005644720.1	Tudor	21	1205
Coffea_arabica	XP_027118401.1	Tudor	21	1301
Crassostrea_angulata	XP_052719523.1	PWWP	34	1346
Cryptococcus_neoformans	UOH83939.1	none	15	1206
Cyanidioschyzon_merolae	XP_005537539.1	none	1	1070
Danio_rerio	NP_878280.1	PWWP	10	1370
Daphnia_magna	XP_046461715.1	PWWP	4	1311
Daphnia_pulex	XP_046461715.1	PWWP	4	1311
Diphasiastrum_complanatum	KAJ7532274.1	Tudor	21	1473
Drosophila_melanogaster	NP_648755.1	none	5	1191
Ectocarpus_siliculosus	CBJ25567.1	Tudor	16	1373
Galdieria_sulphuraria	XP_005706585.1	none	18	1034
Gallus_gallus	XP_015133604.2	PWWP	10	1342
Glycine_max	XP_006604739.2	Tudor	21	1274
Helianthus_annuus	KAJ0589820.1	Tudor	21	1252
Helobdella_robusta	ESO12543.1	PWWP	35	1413
Homo_sapiens	NP_000170.1	PWWP	10	1361
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	42	1298
Hypsibius_exemplaris	OQV25128.1	none	31	1212
Klebsormidium_nitens	GAQ83575.1	Tudor	21	1408
Latimeria_chalumnae	XP_005999349.2	PWWP	10	1449
Limulus_polyphemus	XP_022255351.1	PWWP	33	1296
Micromonas_pusilla_CCMP1545	EEH56631.1	Tudor	2	1435
Mizuhopecten_yessoensis	XP_021365349.1	PWWP	35	1370
Mus_musculus	NP_034960.1	PWWP	10	1359
Neurospora_crassa	KHE79506.1	none	3	1247
Nymphaea_colorata	XP_031485190.1	Tudor	21	1299
Paramecium_tetraurelia	XP_001425815.1	none	3	1109
Petromyzon_marinus	XP_032811773.2	PWWP	21	1417
Physcomitrium_patens	PNR32598.1	Tudor	20	1411
Phytophthora_infestans	KAF4047292.1	none	1	1263
Plasmodium_falciparum_3D7	XP_001351613.1	none	2	1351
Populus_trichocarpa	KAI5565098.1	Tudor	22	1344
Porphyra_umbilicalis	OSX69653.1	none	1	1154
Saccharomyces_cerevisiae	NP_010382.3	none	1	1243
Schizosaccharomyces_pombe	NP_588344.1	none	2	1255
Selaginella_moellendorffii	XP_024542030.1	none	25	1211
Solanum_lycopersicum	XP_025886670.1	Tudor	21	1313
Sorghum_bicolor	KXG35601.1	Tudor	21	1305
Sphagnum_fallax	KAH8952520.1	Tudor	20	1392
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	30	1415
Tetrahymena_thermophila_SB210	XP_001017234.1	none	6	1233
Thalassiosira_pseudonana	XP_002288822.1	none	7	1099
Theobroma_cacao	XP_017983072.1	Tudor	21	1317
Trichoplax_adhaerens	RDD38147.1	PWWP	39	1314
Vitis_vinifera	XP_002275930.1	Tudor	21	1298
Xenopus_tropicalis	KAE8600724.1	PWWP	10	1339
Zea_mays	XP_020396805.1	Tudor	21	1297
Zostera_marina	KMZ67126.1	Tudor	21	1339
