species	protein	reader_type	exon_num	start_aa	end_aa	length_aa	length_nt	total_aa	n_exons
Arabidopsis_thaliana	NP_192116.1	Tudor	1	1	315	315	946	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	2	316	348	33	100	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	3	349	383	35	103	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	4	384	401	18	54	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	5	402	426	25	75	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	6	427	449	23	69	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	7	450	477	28	84	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	8	478	542	65	195	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	9	543	718	176	530	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	10	719	762	44	130	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	11	763	792	30	92	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	12	793	852	60	179	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	13	853	920	68	203	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	14	921	954	34	102	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	15	955	1008	54	163	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	16	1009	1104	96	287	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	17	1105	1150	46	138	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	18	1151	1176	26	80	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	19	1177	1210	34	100	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	20	1211	1253	43	130	1325	21
Arabidopsis_thaliana	NP_192116.1	Tudor	21	1254	1325	72	215	1325	21
Amborella_trichopoda	XP_006841417.1	Tudor	1	1	332	332	997	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	2	333	364	32	97	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	3	365	399	35	103	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	4	400	417	18	54	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	5	418	442	25	75	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	6	443	465	23	69	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	7	466	493	28	84	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	8	494	559	66	198	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	9	560	744	185	557	1363	21
Amborella_trichopoda	XP_006841417.1	Tudor	10	745	788	44	130	1363	21
