GC PWWPtblastn Tudortblastn
GCF_000146045.2 56532 102652
GCF_000002985.6 612341 2331394
GCF_000001735.4 34295 722
GCF_000001405.40 7671 Inf
GCF_000001635.27 4239 Inf
GCF_000001215.4 4607876 1256718
GCF_000002035.6 4317 7260390
GCF_003013715.1 9563 29958
GCF_003054445.1 298763 28308
GCF_000026945.1 159719 74758
GCF_000090985.2 2418 771
GCF_947243775.1 48684 180779
GCF_947241705.1 222751 249431
GCF_001640025.1 39447 5698
GCF_029542925.1 181057 96540
GCF_027921745.1 20416 65296
GCF_001548555.1 51613 272218
GCF_014133895.1 112628 170288
GCF_005498985.1 135389 93520
GCF_011074865.1 358982 56269
GCF_000002765.5 312863 Inf
GCF_013085055.1 54960 558491
GCF_022201045.2 1426732 1445
GCF_019923935.1 4542 Inf
GCF_000143535.2 34207 15246
GCF_016906535.1 1283904 Inf
GCF_001417885.1 79178 32297
GCF_000002725.2 41383 Inf
GCF_002022765.2 3814 Inf
GCF_900002385.2 77745 Inf
GCF_000002515.2 63633 48741
GCF_009556855.1 159602 240488
GCF_023724105.1 2655 Inf
GCF_000091205.1 13570 23038
GCF_000687475.1 10445 1039531
GCF_026914185.1 1053033 494994
GCF_016861625.1 738448 85815
GCF_000226095.1 131405 446879
GCF_011074885.1 109653 301658
GCF_024364675.1 7807684 Inf
GCF_003290485.1 22370 16709
GCF_016861735.1 146697 1143754
GCF_000091025.4 40653 97282
GCF_000740895.1 Inf 364719
GCF_020509005.1 120247 902039
GCF_000092065.1 20090 18631
GCF_023278565.1 53031 650007
GCF_016861865.1 961681 58608
GCF_026873545.1 569597 238172
GCF_022605165.1 610982 160785
GCF_000226115.1 12236 86173
GCF_013368755.1 60796 421754
GCF_900681995.1 57833 Inf
GCF_013402915.1 116065 337829
GCF_000002545.3 134365 125944
GCF_000006445.2 66306 93962
GCF_002079055.1 165357 202869
GCF_000237345.1 57482 91918
GCF_000026365.1 10141 63645
GCF_000243375.1 242974 26997
GCF_000142805.1 112910 92281
GCF_000304475.1 79343 32564
GCF_000315915.1 93036 434385
GCF_000348985.1 34779 68626
GCF_000227115.2 46700 712525
GCF_000002945.1 27417 233846
GCF_000182965.3 491823 75078
GCF_000091045.1 307705 68978
GCF_000011425.1 381001 113064
GCF_014117465.1 64275 186820
GCF_000002525.2 23622 360114
GCF_021134715.1 940 2306256
GCF_000227135.1 16099 245953
GCF_000027005.1 392507 203051
GCF_900079805.1 65755 34333
GCF_917563875.1 61874136 Inf
GCF_000185945.1 124495 95592
GCF_000208865.1 601559 1585378
GCF_000214015.3 10538 86179
GCF_000315875.1 52154 64193
GCF_001406875.1 1092724 1183
GCF_905220565.1 5563042 Inf
GCF_000691945.2 87421 168651
GCF_000091225.2 8790 25448
GCF_900007375.1 537288 127192
GCF_026914265.1 9472 Inf
GCF_024334085.1 415700 5756552
GCF_000755165.1 112692 335572
GCF_905220415.1 2981028 6790860
GCF_000146465.1 51329 50108
GCF_030253575.1 180945 1379
GCF_001680005.1 164008 225769
GCF_000235365.1 5591 838
GCF_002220235.1 106070 51771
GCF_003576645.1 10219599 2478
GCF_000219625.1 48252 Inf
GCF_000187245.1 74551 36362
GCF_000236905.1 174968 152988
GCF_015227675.2 5099 Inf
GCF_001433935.1 8380923 1520
GCF_000003025.6 4828 71141931
GCF_002263795.2 4480 Inf
GCF_016699485.2 3369 4236397
GCF_902167145.1 6022682 1015
GCF_000188115.5 1030999 1184
GCF_011100685.1 4920 Inf
