species	protein	reader_type	exon_num	start_aa	end_aa	length_aa	length_nt	total_aa	n_exons
Acropora_millepora	XP_044184150.1	PWWP	1	1	118	118	356	1371	39
Acropora_millepora	XP_044184150.1	PWWP	2	119	213	95	283	1371	39
Acropora_millepora	XP_044184150.1	PWWP	3	214	245	32	97	1371	39
Acropora_millepora	XP_044184150.1	PWWP	4	246	287	42	125	1371	39
Acropora_millepora	XP_044184150.1	PWWP	5	288	389	102	308	1371	39
Acropora_millepora	XP_044184150.1	PWWP	6	390	408	19	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	7	409	421	13	39	1371	39
Acropora_millepora	XP_044184150.1	PWWP	8	422	441	20	60	1371	39
Acropora_millepora	XP_044184150.1	PWWP	9	442	466	25	75	1371	39
Acropora_millepora	XP_044184150.1	PWWP	10	467	491	25	77	1371	39
Acropora_millepora	XP_044184150.1	PWWP	11	492	511	20	59	1371	39
Acropora_millepora	XP_044184150.1	PWWP	12	512	532	21	63	1371	39
Acropora_millepora	XP_044184150.1	PWWP	13	533	558	26	77	1371	39
Acropora_millepora	XP_044184150.1	PWWP	14	559	583	25	75	1371	39
Acropora_millepora	XP_044184150.1	PWWP	15	584	607	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	16	608	637	30	91	1371	39
Acropora_millepora	XP_044184150.1	PWWP	17	638	669	32	95	1371	39
Acropora_millepora	XP_044184150.1	PWWP	18	670	681	12	37	1371	39
Acropora_millepora	XP_044184150.1	PWWP	19	682	703	22	67	1371	39
Acropora_millepora	XP_044184150.1	PWWP	20	704	722	19	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	21	723	746	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	22	747	782	36	109	1371	39
Acropora_millepora	XP_044184150.1	PWWP	23	783	803	21	64	1371	39
Acropora_millepora	XP_044184150.1	PWWP	24	804	836	33	99	1371	39
Acropora_millepora	XP_044184150.1	PWWP	25	837	894	58	174	1371	39
Acropora_millepora	XP_044184150.1	PWWP	26	895	920	26	76	1371	39
Acropora_millepora	XP_044184150.1	PWWP	27	921	938	18	55	1371	39
Acropora_millepora	XP_044184150.1	PWWP	28	939	972	34	101	1371	39
Acropora_millepora	XP_044184150.1	PWWP	29	973	978	6	19	1371	39
Acropora_millepora	XP_044184150.1	PWWP	30	979	1046	68	205	1371	39
Acropora_millepora	XP_044184150.1	PWWP	31	1047	1070	24	72	1371	39
Acropora_millepora	XP_044184150.1	PWWP	32	1071	1095	25	73	1371	39
Acropora_millepora	XP_044184150.1	PWWP	33	1096	1128	33	99	1371	39
Acropora_millepora	XP_044184150.1	PWWP	34	1129	1170	42	126	1371	39
Acropora_millepora	XP_044184150.1	PWWP	35	1171	1199	29	88	1371	39
Acropora_millepora	XP_044184150.1	PWWP	36	1200	1281	82	245	1371	39
