species	protein	reader_type	n_exons	total_aa	gene_symbol	n_domains
Arabidopsis_thaliana	NP_192116.1	Tudor	21	1325	MSH6	6
Amborella_trichopoda	XP_006841417.1	Tudor	21	1363	LOC18431226	6
Vitis_vinifera	XP_002275930.1	Tudor	21	1298	LOC100255608	5
Oryza_sativa	XP_015611811.1	Tudor	21	1284	LOC4347016	6
Zea_mays	XP_020396805.1	Tudor	21	1297	LOC542626	6
Selaginella_moellendorffii	XP_024542030.1	none	25	1211	LOC9647440	5
Amphimedon_queenslandica	XP_019855210.1	none	31	1165	LOC100631829	5
Acropora_millepora	XP_044184150.1	PWWP	39	1371	LOC114963837	7
Hydractinia_symbiolongicarpus	XP_057309213.1	PWWP	42	1298	LOC130647389	7
Daphnia_magna	XP_046461715.1	PWWP	4	1311	LOC124208062	7
Octopus_sinensis	XP_029635395.1	PWWP	35	1343	LOC115210797	7
Ixodes_scapularis	XP_029829430.3	PWWP	29	1284	LOC8053391	7
Strongylocentrotus_purpuratus	XP_030829946.1	PWWP	30	1415	msh6	7
Branchiostoma_belcheri	XP_019632875.1	PWWP	33	1325	LOC109476381	7
Danio_rerio	NP_878280.1	PWWP	10	1370	msh6	7
Anolis_carolinensis	XP_008100917.1	PWWP	10	1325	msh6	7
Gallus_gallus	XP_015133604.2	PWWP	10	1342	MSH6	7
Mus_musculus	NP_034960.1	PWWP	10	1359	Msh6	7
Homo_sapiens	NP_000170.1	PWWP	10	1361	MSH6	7
Drosophila_melanogaster	NP_648755.1	none	5	1191	Msh6	5
Caenorhabditis_elegans	NP_491163.1	none	8	1187	msh-6	5
Saccharomyces_cerevisiae	NP_010382.3	none	1	1243	MSH6	5
Xenopus_tropicalis	KAE8600724.1	PWWP	10	1339	msh6	7
Petromyzon_marinus	XP_032811773.2	PWWP	21	1417	MSH6	7
Sorghum_bicolor	KXG35601.1	Tudor	21	1305	LOC8055803	6
Chlamydomonas_reinhardtii	PNW83581.1	none	21	1264	CHLRE_05g235750v5	4
Helobdella_robusta	ESO12543.1	PWWP	35	1413	HELRODRAFT_187909	7
Populus_trichocarpa	KAI5565098.1	Tudor	22	1344	LOC112326168	5
Physcomitrium_patens	PNR32598.1	Tudor	20	1411	LOC112273630	5
Sphagnum_fallax	KAH8952520.1	Tudor	20	1392	MSH6	6
Ceratopteris_richardii	KAH7428807.1	Tudor	21	1366	MSH6	6
Aureococcus_anophagefferens	XP_009034367.1	Tudor	3	1141	MSH6	6
Ectocarpus_siliculosus	CBJ25567.1	Tudor	16	1373	MSH6	7
Thalassiosira_pseudonana	XP_002288822.1	none	7	1099	MSH6	5
Galdieria_sulphuraria	XP_005706585.1	none	18	1034	MSH6	4
Cyanidioschyzon_merolae	XP_005537539.1	none	1	1070	MSH6	5
Porphyra_umbilicalis	OSX69653.1	none	1	1154	MSH6	4
Apis_mellifera	XP_392346.4	none	21	1130	MSH6	5
Bombyx_mandarina	XP_028038931.1	none	19	1136	MSH6	5
Trichoplax_adhaerens	RDD38147.1	PWWP	39	1314	MSH6	8
Hypsibius_exemplaris	OQV25128.1	none	31	1212	MSH6	4
