qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,GC,name
NP_001030677.1,AEE75157.1,100,383,0,0,1,383,1,383,0,796,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_001077464.4,ANM59181.1,100,1083,0,0,1,1083,1,1083,0,2263,GCF_000001735.4,trithorax-like protein 2 [Arabidopsis thaliana]
NP_001119389.1,AED95552.1,100,1606,0,0,1,1606,1,1606,0,3279,GCF_000001735.4,binding protein [Arabidopsis thaliana]
NP_001119390.1,AED95553.1,100,1607,0,0,1,1607,1,1607,0,3279,GCF_000001735.4,binding protein [Arabidopsis thaliana]
NP_001154281.1,AEE86091.1,100,1540,0,0,1,1540,1,1540,0,3197,GCF_000001735.4,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
NP_001185420.1,AEE35998.1,100,1410,0,0,1,1410,1,1410,0,2899,GCF_000001735.4,ARM repeat superfamily protein [Arabidopsis thaliana]
NP_001185421.1,AEE35999.1,100,1424,0,0,1,1424,1,1424,0,2924,GCF_000001735.4,ARM repeat superfamily protein [Arabidopsis thaliana]
NP_001190242.1,AED91065.1,100,313,0,0,1,313,1,313,0,647,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_001190656.1,AEE82120.1,100,1321,0,0,1,1321,1,1321,0,2726,GCF_000001735.4,MUTS homolog 6 [Arabidopsis thaliana]
NP_001190882.1,AEE85973.1,100,872,0,0,1,872,1,872,0,1724,GCF_000001735.4,transcriptional regulator [Arabidopsis thaliana]
NP_001319396.1,AEE35997.2,100,1403,0,0,1,1403,1,1403,0,2883,GCF_000001735.4,ARM repeat superfamily protein [Arabidopsis thaliana]
NP_001319432.1,ANM59349.1,100,774,0,0,1,774,1,774,0,1559,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_001321563.1,ANM59181.1,100,1083,0,0,1,1083,1,1083,0,2263,GCF_000001735.4,trithorax-like protein 2 [Arabidopsis thaliana]
NP_001321564.1,ANM59181.1,100,1083,0,0,1,1083,1,1083,0,2263,GCF_000001735.4,trithorax-like protein 2 [Arabidopsis thaliana]
NP_001321711.1,ANM59347.1,100,663,0,0,1,663,1,663,0,1345,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_001321712.1,ANM59348.1,100,826,0,0,1,826,1,826,0,1663,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_001321713.1,ANM59349.1,100,774,0,0,1,774,1,774,0,1559,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_001331466.1,AED95553.1,100,1510,0,0,1,1510,98,1607,0,3087,GCF_000001735.4,binding protein [Arabidopsis thaliana]
NP_001332263.1,ANM70674.1,100,324,0,0,1,324,1,324,0,676,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_001332264.1,ANM70675.1,100,282,0,0,1,282,1,282,0,576,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_172074.6,ANM59181.1,100,1083,0,0,1,1083,1,1083,0,2263,GCF_000001735.4,trithorax-like protein 2 [Arabidopsis thaliana]
NP_173046.2,AEE29387.1,100,990,0,0,1,990,1,990,0,1988,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_178196.2,AEE36452.1,100,773,0,0,1,773,1,773,0,1557,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_181972.2,AEC10420.1,100,429,0,0,1,429,1,429,0,881,GCF_000001735.4,Emsy N Terminus (ENT) domain-containing protein [Arabidopsis thaliana]
NP_187821.1,AEE75156.1,100,327,0,0,1,327,1,327,0,674,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_191368.2,AEE79740.1,100,271,0,0,1,271,1,271,0,558,GCF_000001735.4,Disease resistance-responsive (dirigent-like protein) family protein [Arabidopsis thaliana]
NP_192116.1,AEE82119.1,100,1324,0,0,1,1324,1,1324,0,2733,GCF_000001735.4,MUTS homolog 6 [Arabidopsis thaliana]
NP_194916.2,AEE85972.1,100,873,0,0,1,873,1,873,0,1725,GCF_000001735.4,transcriptional regulator [Arabidopsis thaliana]
NP_194988.2,AEE86090.1,100,1539,0,0,1,1539,1,1539,0,3194,GCF_000001735.4,Enhancer of polycomb-like transcription factor protein [Arabidopsis thaliana]
NP_195023.3,AEE86153.1,100,638,0,0,1,638,1,638,0,1319,GCF_000001735.4,BRISC/BRCA1-A complex protein [Arabidopsis thaliana]
NP_196296.1,AED91064.1,100,320,0,0,1,320,1,320,0,662,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_196656.1,AED91614.1,100,395,0,0,1,395,1,395,0,766,GCF_000001735.4,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
NP_196806.2,AED91842.1,100,397,0,0,1,397,1,397,0,808,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
NP_199580.3,AED95551.1,100,1605,0,0,1,1605,1,1605,0,3276,GCF_000001735.4,binding protein [Arabidopsis thaliana]
NP_850170.1,AEC08569.1,100,1062,0,0,1,1062,1,1062,0,2217,GCF_000001735.4,homologue of trithorax [Arabidopsis thaliana]
NP_850568.1,AEE75156.1,100,327,0,0,1,327,1,327,0,674,GCF_000001735.4,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
,,,,,,,,,,,,GCF_000090985.2,
XP_002499876.1,AED92587.1,43.063,555,259,13,476,1025,186,688,2.21e-129,437,GCF_000090985.2,chromatin remodeling factor17 [Arabidopsis thaliana]
XP_002500051.1,AEC09263.1,41.071,224,121,5,1355,1570,840,1060,5.76e-41,167,GCF_000090985.2,demeter-like 1 [Arabidopsis thaliana]
XP_002500707.1,ANM68804.1,29.73,111,71,3,511,621,82,185,5.16e-08,57.4,GCF_000090985.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_002503460.1,AEE85972.1,33.333,93,50,3,1507,1599,604,684,1.13e-06,54.3,GCF_000090985.2,transcriptional regulator [Arabidopsis thaliana]
XP_002503904.1,AED91614.1,39.759,83,41,2,562,635,37,119,1.15e-11,68.2,GCF_000090985.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_002503942.1,AEE85973.1,32,125,77,3,924,1048,564,680,5.77e-09,61.6,GCF_000090985.2,transcriptional regulator [Arabidopsis thaliana]
XP_002506298.1,AEE29387.1,50,52,25,1,722,773,572,622,1.66e-07,56.2,GCF_000090985.2,Tudor/PWWP/MBT superfamily protein [Arabidopsis thaliana]
XP_002507041.1,AED91065.1,44.828,58,32,0,396,453,119,176,1.71e-08,58.2,GCF_000090985.2,Emsy N Terminus (ENT)/ plant Tudor-like domains-containing protein [Arabidopsis thaliana]
XP_002507804.1,AEE82120.1,45.455,55,27,1,239,293,126,177,2.31e-06,49.7,GCF_000090985.2,MUTS homolog 6 [Arabidopsis thaliana]
XP_002508822.1,AEE82119.1,39.391,1150,587,27,258,1364,189,1271,0,716,GCF_000090985.2,MUTS homolog 6 [Arabidopsis thaliana]
XP_006467267.2,AED95553.1,58.521,1690,600,17,1,1675,1,1604,0,1891,GCF_022201045.2,binding protein [Arabidopsis thaliana]
