species	protein	reader_type	domain	sig_acc	start_aa	end_aa	total_aa
Acropora_millepora	XP_044184150.1	PWWP	MutS_III	PF05192	752	1068	1371
Acropora_millepora	XP_044184150.1	PWWP	MutS_V	PF00488	1145	1339	1371
Acropora_millepora	XP_044184150.1	PWWP	MutS_I	PF01624	420	537	1371
Acropora_millepora	XP_044184150.1	PWWP	PWWP	PF00855	71	146	1371
Acropora_millepora	XP_044184150.1	PWWP	PWWP	SM00293	67	125	1371
Acropora_millepora	XP_044184150.1	PWWP	MutS_IV	PF05190	939	1028	1371
Acropora_millepora	XP_044184150.1	PWWP	MutS_II	PF05188	551	711	1371
Acropora_millepora	XP_044184150.1	PWWP	PWWP	cd05837	67	158	1371
Aedes_aegypti	EAT36110.1	none	MutS_IV	PF05190	716	808	1131
Aedes_aegypti	EAT36110.1	none	MutS_III	PF05192	535	849	1131
Aedes_aegypti	EAT36110.1	none	MutS_II	PF05188	341	496	1131
Aedes_aegypti	EAT36110.1	none	MutS_I	PF01624	210	324	1131
Aedes_aegypti	EAT36110.1	none	MutS_V	PF00488	904	1095	1131
Amborella_trichopoda	XP_006841417.1	Tudor	Tudor	cd20404	151	201	1363
Amborella_trichopoda	XP_006841417.1	Tudor	MutS_I	PF01624	396	510	1363
Amborella_trichopoda	XP_006841417.1	Tudor	Tudor	SM00333	147	205	1363
Amborella_trichopoda	XP_006841417.1	Tudor	MutS_III	PF05192	728	1043	1363
Amborella_trichopoda	XP_006841417.1	Tudor	MutS_IV	PF05190	914	1002	1363
Amborella_trichopoda	XP_006841417.1	Tudor	MutS_V	PF00488	1110	1300	1363
Amborella_trichopoda	XP_006841417.1	Tudor	MutS_II	PF05188	521	600	1363
Amphimedon_queenslandica	XP_019855210.1	none	MutS_IV	PF05190	748	834	1165
Amphimedon_queenslandica	XP_019855210.1	none	MutS_V	PF00488	938	1126	1165
Amphimedon_queenslandica	XP_019855210.1	none	MutS_I	PF01624	220	336	1165
Amphimedon_queenslandica	XP_019855210.1	none	MutS_II	PF05188	352	498	1165
Amphimedon_queenslandica	XP_019855210.1	none	MutS_III	PF05192	561	877	1165
Anolis_carolinensis	XP_008100917.1	PWWP	PWWP	cd05837	54	157	1325
Anolis_carolinensis	XP_008100917.1	PWWP	MutS_V	PF00488	1097	1291	1325
Anolis_carolinensis	XP_008100917.1	PWWP	MutS_II	PF05188	504	662	1325
Anolis_carolinensis	XP_008100917.1	PWWP	MutS_III	PF05192	705	1029	1325
Anolis_carolinensis	XP_008100917.1	PWWP	PWWP	PF00855	57	147	1325
Anolis_carolinensis	XP_008100917.1	PWWP	MutS_I	PF01624	373	490	1325
Anolis_carolinensis	XP_008100917.1	PWWP	MutS_IV	PF05190	897	989	1325
Anolis_carolinensis	XP_008100917.1	PWWP	PWWP	SM00293	54	116	1325
Apis_mellifera	XP_392346.4	none	MutS_III	PF05192	545	853	1130
Apis_mellifera	XP_392346.4	none	MutS_IV	PF05190	724	813	1130
Apis_mellifera	XP_392346.4	none	MutS_II	PF05188	352	510	1130
Apis_mellifera	XP_392346.4	none	MutS_V	PF00488	908	1102	1130
Apis_mellifera	XP_392346.4	none	MutS_I	PF01624	222	338	1130
Arabidopsis_thaliana	NP_192116.1	Tudor	MutS_III	PF05192	702	1017	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	Tudor	cd20404	125	175	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	MutS_II	PF05188	506	667	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	MutS_IV	PF05190	886	976	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	Tudor	SM00333	121	179	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	MutS_I	PF01624	380	495	1325
Arabidopsis_thaliana	NP_192116.1	Tudor	MutS_V	PF00488	1080	1270	1325
Asparagus_officinalis	XP_020269981.1	Tudor	MutS_I	PF01624	338	451	1310
Asparagus_officinalis	XP_020269981.1	Tudor	MutS_IV	PF05190	853	941	1310
Asparagus_officinalis	XP_020269981.1	Tudor	Tudor	cd20404	85	135	1310
Asparagus_officinalis	XP_020269981.1	Tudor	MutS_III	PF05192	667	982	1310
Asparagus_officinalis	XP_020269981.1	Tudor	MutS_V	PF00488	1047	1237	1310
Asparagus_officinalis	XP_020269981.1	Tudor	MutS_II	PF05188	462	548	1310
Asparagus_officinalis	XP_020269981.1	Tudor	Tudor	SM00333	81	139	1310
Aspergillus_niger	CAK44621.1	none	MutS_IV	PF05190	760	849	1194
Aspergillus_niger	CAK44621.1	none	MutS_I	PF01624	299	417	1194
Aspergillus_niger	CAK44621.1	none	MutS_II	PF05188	428	573	1194
Aspergillus_niger	CAK44621.1	none	MutS_V	PF00488	946	1132	1194
