uniprot	embl	organism	tax_id	prot_len	gene	product	pwwp_start	pwwp_end	pwwp_len	has_genomic_exons	n_total_exons	n_exons_in_pwwp	break_from_pwwp_start
A0A010QN83	EXF81547.1	Colletotrichum fioriniae PJ7	1445577	597			166	274	109	True	6	3	23
A0A015JD20	EXX52834.1	Rhizophagus irregularis (strain DAOM 197198w)	1432141	511			6	99	94	True	7	3	16
A0A016VFX0	EYC25633.1	Ancylostoma ceylanicum	53326	801	Acey_s0011.g1308		1	67	67	True	19	3	9
A0A022Q029	EYU21406.1	Erythranthe guttata	4155	659			17	115	99	True	3	1	
A0A022QM23	EYU28971.1	Erythranthe guttata	4155	267			28	111	84	False	1	0	
A0A022QQP3	EYU29899.1	Erythranthe guttata	4155	197			42	125	84	False	1	0	
A0A022R1M9	EYU32735.1	Erythranthe guttata	4155	1092			318	411	94	True	24	4	8
A0A022R4S9	EYU35582.1	Erythranthe guttata	4155	1370			21	109	89	True	12	3	16
A0A022R772	EYU34720.1	Erythranthe guttata	4155	630			95	181	87	True	2	1	
A0A022RE96	EYU38511.1	Erythranthe guttata	4155	688			162	244	83	True	3	1	
A0A022RII4	EYU39558.1	Erythranthe guttata	4155	1087			621	703	83	True	3	2	15
A0A022RKZ7	EYU39555.1	Erythranthe guttata	4155	502			1	82	82	True	2	1	
A0A022RZY5	EYU45556.1	Erythranthe guttata	4155	514			142	223	82	True	2	2	19
A0A022S0B7	EYU45368.1	Erythranthe guttata	4155	643			15	112	98	True	4	1	
A0A022VVF8	EZF49934.1	Trichophyton rubrum CBS 288.86	1215330	575			121	228	108	True	4	2	67
A0A022VW14	EZF49933.1	Trichophyton rubrum CBS 288.86	1215330	587			133	240	108	True	6	2	67
A0A022XK05	EZF71027.1	Trichophyton soudanense CBS 452.61	1215331	587			133	240	108	True	6	2	67
A0A022XL29	EZF71028.1	Trichophyton soudanense CBS 452.61	1215331	575			121	228	108	True	4	2	67
A0A023EUY6	JAC12294.1	Aedes albopictus	7160	466			8	83	76	False	1	0	
A0A023EZA3	JAC14548.1	Triatoma infestans	30076	838			297	382	86	False	1	0	
A0A023F260	JAC15166.1	Triatoma infestans	30076	1137			1019	1126	108	False	1	0	
A0A023F9N4	JAC17633.1	Triatoma infestans	30076	561			440	521	82	False	1	0	
A0A023FIE2	JAC20924.1	Amblyomma cajennense	34607	228			7	89	83	False	1	0	
A0A023FRA9	JAC24352.1	Amblyomma cajennense	34607	284			44	104	61	False	1	0	
